,ybjH
Cr_1,0.001842935293828907
Cr_2,-0.0020564884174533176
Cr_3,-0.012823675224014886
Cr_4,-0.034858456992295665
Cr_5,-0.05352916304732746
Cr_6,-0.05894625634573681
Fe_1,-0.008536442759498511
Fe_2,-0.024456973201665316
Fe_3,-0.035346159914569464
Fe_4,-0.04341736538434409
Fe_5,-0.05220892966873445
Fe_6,-0.060102356532732173
Cd_1,-0.0013630415693080273
Cd_2,0.0037048309995181185
Cd_3,0.01053636412833627
Cd_4,0.016242794058592257
Cd_5,0.02136868281324005
Cd_6,0.03644166336771426
Zn_1,-0.005545350885584665
Zn_2,-0.011682015641673923
Zn_3,-0.00975967723824479
Zn_4,-0.005228083555580282
Zn_5,0.0037241890079431593
Zn_6,0.008314149233586645
Cu_1,0.006407590485032229
Cu_2,0.012956929207024712
Cu_3,0.01941038549869074
Cu_4,0.025171567970277784
Cu_5,0.031287613121570766
Cu_6,0.039270724831737464
Pb_1,0.006097736742625822
Pb_2,0.01640784194118062
Pb_3,0.022034461905166117
Pb_4,0.027684919681754537
Pb_5,0.031602772839626425
Pb_6,0.03910836925179072
