,STM0070
SRX3136375,-0.2495811061
SRX3136376,0.3361656656
SRX3136377,-0.29629968300000004
SRX3136378,0.2097151236
SRX3136379,0.055303780600000005
SRX3136380,0.1279225408
SRX3136381,-0.0068408877
SRX3136382,-0.0926498847
SRX8914620,-0.0648247269
SRX8914621,0.16493519710000001
SRX8914622,-0.10011047020000001
SRX8914623,1.4559273428
SRX8914625,1.4667541646
ERX3503512,0.1735877288
ERX3503513,0.012621424000000001
ERX3503514,-0.1862091528
ERX3503515,0.2369342801
ERX3503516,0.7092645723000001
ERX3503517,-0.0032883106000000002
ERX3503518,0.348726225
ERX3503519,0.6246064879000001
ERX3503520,0.9513389444
SRX2195704,-0.17326285200000002
SRX2195705,0.17326285200000002
SRX2195706,-0.8108976655
SRX2195707,-0.3755008724
SRX2195708,-0.6556241230000001
SRX2195709,-1.3115201202
SRX2195710,-0.4564892419
SRX2195711,-0.30916375900000004
ERX3467881,0.23779863610000002
ERX3467883,-0.23779863610000002
SRX3798491,-0.7927736253000001
SRX3798492,-0.8665551879000001
SRX3798499,-1.0380984855
SRX3798500,-0.43097580360000004
SRX3798501,-0.5823692889000001
SRX3798502,-1.2980493914
SRX3798503,-0.7887692971
SRX3798504,-0.1539610025
SRX3798506,-1.058807656
SRX3798507,-0.4991033496
SRX3798508,-0.2052942262
SRX3798509,0.12437037150000001
SRX3798510,-0.12227103040000001
SRX3798517,-1.1294852034
SRX3798518,-0.0020993410000000002
SRX4341761,-0.33867900630000003
SRX4341762,-0.5408962199
SRX4341763,-0.7728121819
SRX4341764,-0.746450059
SRX4341765,-2.3652536731
SRX4341766,-0.2552231016
SRX4341767,-0.2095252681
SRX4341768,-0.0986800293
SRX4341769,0.3082052974
SRX1258665,2.5354305817
SRX1258666,2.4208500527
SRX1258667,2.1367621049
SRX1258669,-0.6527989792000001
SRX1258670,0.6527989792000001
ERX2079594,0.4211103197
ERX2079595,0.22438599550000002
ERX2079596,0.0174766045
ERX2079597,0.0200069135
ERX2079598,-0.1492547999
ERX2079599,0.1292478864
SRX2804001,0.2280591683
SRX2804004,-1.2241001441
SRX2804005,-1.4428060861
SRX2804006,-0.2003904498
SRX2804007,-0.927629903
SRX2804008,-1.0202099721
SRX2804009,0.273883772
SRX2804010,0.3134280091
SRX2804011,0.4211646381
SRX2804012,-0.1982153177
SRX2804013,-0.9605862745
SRX2804014,-1.2994918820999999
SRX2804015,-1.1758902373
SRX2804016,-1.3293436156
SRX2804017,-0.3694921299
SRX2804019,-0.7113627347
SRX2804020,0.5883454573
SRX2804021,-0.4027217314
SRX2804022,0.0129259019
SRX2804023,-1.1917155955
SRX2804024,-0.2757108801
SRX2804027,-0.5530115210000001
SRX2804028,0.3162857522
SRX2804029,0.2367257688
SRX2804030,-1.3283929685
SRX2804031,-0.9418949228000001
SRX2804032,-1.3269300394
SRX2804033,-0.1765555397
SRX2804034,-1.2094073053
SRX2804035,-0.8957283761
SRX2804036,-1.0771704346
