,yeeV
Cr_1,0.001486944760267613
Cr_2,0.003576460193684649
Cr_3,0.010799395994533422
Cr_4,0.007259373350012397
Cr_5,0.009573367213641116
Cr_6,0.004769736307942456
Fe_1,-0.014288349503334024
Fe_2,-0.028716676245781805
Fe_3,-0.03508558888100035
Fe_4,-0.03702762487228498
Fe_5,-0.0360723358635261
Fe_6,-0.03137134179827473
Cd_1,0.004352036104439805
Cd_2,0.006623103749869468
Cd_3,0.0074960905223404595
Cd_4,0.006833420022265454
Cd_5,0.003415495918589393
Cd_6,0.004946066419486995
Zn_1,0.0009116961551893023
Zn_2,0.005628576091216282
Zn_3,0.015264501782330263
Zn_4,0.02588949192253776
Zn_5,0.03744035489801443
Zn_6,0.04805321042567455
Cu_1,0.0042665335607563705
Cu_2,0.0061825058087481965
Cu_3,0.010514378386521422
Cu_4,0.012957750982831195
Cu_5,0.013448162478510741
Cu_6,0.014408795648574356
Pb_1,-0.0028944003582639932
Pb_2,0.0010136891377301488
Pb_3,0.0015475419345691622
Pb_4,0.006082056778826257
Pb_5,0.00798451287142327
Pb_6,0.011267385340990204
