,degQ
Cr_1,0.00200954968733577
Cr_2,0.002985779990761253
Cr_3,0.006740358699321324
Cr_4,0.011001626023367468
Cr_5,0.01981261500963084
Cr_6,0.027531496564453597
Fe_1,-0.012488337387101629
Fe_2,-0.04255560686657934
Fe_3,-0.07251615878279481
Fe_4,-0.10786057725296762
Fe_5,-0.1318917581543441
Fe_6,-0.15036865142930875
Cd_1,4.40241310375492e-05
Cd_2,0.0011315687568140109
Cd_3,0.005827437563665553
Cd_4,0.011735106627950884
Cd_5,0.011892782862976209
Cd_6,0.01644914488009206
Zn_1,0.009042275306057765
Zn_2,0.010845447182245223
Zn_3,0.027977668720975388
Zn_4,0.06084172456355525
Zn_5,0.109945511638225
Zn_6,0.17255299260793247
Cu_1,0.004316139720612165
Cu_2,0.008306495565673292
Cu_3,0.010928408092282724
Cu_4,0.01613285398680419
Cu_5,0.016163407682911156
Cu_6,0.01588484240362085
Pb_1,0.010599513878844292
Pb_2,0.022842211597104627
Pb_3,0.04031489521663782
Pb_4,0.05943054811005274
Pb_5,0.06526182759875664
Pb_6,0.07840701719012598
