,lolC
Cr_1,0.00221843882646584
Cr_2,0.0002464434082761344
Cr_3,-0.004802200008990699
Cr_4,-0.009669830864532464
Cr_5,-0.01617854199890471
Cr_6,-0.024377201863221443
Fe_1,-0.010286364100988479
Fe_2,-0.028103568319764814
Fe_3,-0.038709057224251234
Fe_4,-0.04720818201086133
Fe_5,-0.049260550178514516
Fe_6,-0.05332996253513765
Cd_1,0.0001648212232571528
Cd_2,0.0009159294095430707
Cd_3,0.0023339130824216936
Cd_4,0.0044940938342655735
Cd_5,0.0007451224009883861
Cd_6,0.005631868998874061
Zn_1,-0.011369796638984513
Zn_2,-0.013492997053178685
Zn_3,-0.006179875615496738
Zn_4,0.006692896827167621
Zn_5,0.018904590073807258
Zn_6,0.02545307074510933
Cu_1,0.0024889156316702924
Cu_2,0.006205802381580132
Cu_3,0.015493364009716603
Cu_4,0.024994873291722442
Cu_5,0.034465861650621286
Cu_6,0.046453721015358634
Pb_1,-0.0038446742547232522
Pb_2,-0.004905609080620254
Pb_3,0.0007503832766945683
Pb_4,0.008368314298086715
Pb_5,0.010899800832204749
Pb_6,0.01701776062122267
