,A,ihfB,IclR,Crp,ArcA,Cra
R2,,0.04909262735071973,0.032234683498902794,0.02989207938518168,0.023011656990126084,0.00869133257443444
xmin,,-3.9178110457,-4.5981687822,-9.852476477,-3.6017898952,-7.2746930645
xmid,,-0.668676099958978,-1.0689170727626018,-0.6678038222192026,,-0.29949449102243
xmax,,3.3245249795,4.05240736,2.5388323397,3.7109145168,2.4360738119
ystart,,-1.6389950707565195,-1.5710045164278634,0.1471716539143052,1.5937812966089058,-0.9785830540948438
yend,,3.365992137007584,2.997684045828511,-3.6563865404802116,-2.989860912674032,1.221328571146127
SRX1125282,0.14324983800000002,-0.1131958483,0.0373450907,0.0344951212,0.1536251284,0.062006051900000005
SRX1125283,0.8125682229000001,0.0772468121,-0.1903843268,0.1435731223,-0.1085541986,-0.1314214465
SRX1125284,0.745273885,0.0671979825,-0.15699408780000002,0.2534372822,-0.269085791,0.0314530619
SRX1125285,1.8689129882,-0.031233225400000002,-0.4401822081,0.283920339,0.0131235692,-0.1295274102
SRX1125286,2.2172965208,0.0201842575,-0.292943424,0.3175329239,0.26443002660000003,-0.2247240932
SRX1125287,2.8957953014,-0.1696861744,-0.2610488398,0.17602055360000002,-0.1415413156,-0.7116227439
SRX1125288,0.30224102210000003,0.030994294500000002,-0.2063927589,0.005256366,-0.1227035083,-0.1377842684
SRX1125289,0.5600237924,0.0539088152,0.0015987454,0.2819816342,-0.4182880135,-0.0278778495
SRX1125290,1.2223594172,0.1097352022,-0.709846882,0.2801678667,-0.1456535487,-0.0861555941
SRX1125291,2.0125608371,0.2340397233,-0.3576184348,0.4762089513,0.0864050615,-0.0825496888
SRX1125292,2.6024426518,0.2579735379,-0.6006686219,0.5370175003000001,0.326354303,-0.0984813253
SRX1125293,1.0749114488,0.5504911606,-0.4851948247,0.5086233319,0.2809830862,-0.48781484950000004
SRX1125294,-0.4454908601,0.0822015539,0.1690476682,-0.039751487200000005,-0.0309216201,0.07577821650000001
SRX1125295,-0.7853539443,0.4189166854,0.0533781261,0.2905320638,-0.0305290823,-0.0035574465000000003
SRX1125296,0.4761899632,0.2529822276,-0.17027835930000002,0.1859933018,-0.30555163100000005,-0.16898320120000002
