,prfC
Cr_1,0.003751113013595976
Cr_2,0.012161718484726237
Cr_3,0.013374113198305069
Cr_4,0.010532095321070885
Cr_5,0.010655132769976629
Cr_6,0.005292809101279836
Fe_1,-0.015064951959581947
Fe_2,-0.02154461474755812
Fe_3,-0.02237509708593324
Fe_4,-0.03099869115008403
Fe_5,-0.03633986772095421
Fe_6,-0.045193801155200976
Cd_1,-0.004845647327784177
Cd_2,-0.0016884307803104175
Cd_3,0.004314106047892168
Cd_4,0.0052017010544056245
Cd_5,0.0069089432057947075
Cd_6,0.014603502656949926
Zn_1,-0.011620209459482434
Zn_2,0.0014170807015632956
Zn_3,0.027784738861400086
Zn_4,0.06297260587277312
Zn_5,0.04960707308718825
Zn_6,0.0083022851129184
Cu_1,0.0005172206023267875
Cu_2,0.00510356732324929
Cu_3,0.014508054571227209
Cu_4,0.020203629376224885
Cu_5,0.028169636994692195
Cu_6,0.03396255244978001
Pb_1,-0.006223676217826447
Pb_2,-0.002712188192157143
Pb_3,0.0022002975960790567
Pb_4,0.013128382893685266
Pb_5,0.018388946278796843
Pb_6,0.026625924830596108
