,yidS
Cr_1,-0.015243477966948096
Cr_2,-0.024063204504638797
Cr_3,-0.02068035307401936
Cr_4,-0.022117958398430625
Cr_5,-0.015507756066599725
Cr_6,-0.013967624892045396
Fe_1,-0.06162634749257465
Fe_2,-0.109890030668836
Fe_3,-0.13045310562829834
Fe_4,-0.13763652408265034
Fe_5,-0.1382638488929925
Fe_6,-0.12947881545117168
Cd_1,-0.005252498330122991
Cd_2,-0.004001940694458618
Cd_3,-0.004784606157500214
Cd_4,-0.006341998536419465
Cd_5,-0.017825878785200727
Cd_6,-0.014672535542778038
Zn_1,0.007725573022397517
Zn_2,-0.006520049896296004
Zn_3,-0.0586578436102702
Zn_4,-0.05847265546066911
Zn_5,-0.056519474328891414
Zn_6,-0.024448874357412227
Cu_1,0.004275300542258732
Cu_2,0.005917822508770584
Cu_3,0.006938622839957025
Cu_4,0.013876140084394986
Cu_5,0.018843845817089252
Cu_6,0.019546806316254915
Pb_1,-0.005612796901226699
Pb_2,-0.0063971269389091505
Pb_3,0.00140773475953888
Pb_4,0.010074614693936557
Pb_5,0.014744392196083454
Pb_6,0.013604045161024252
