,lipA
Cr_1,-0.0005450039979745379
Cr_2,-0.007468649461629258
Cr_3,-0.006610926174978629
Cr_4,-0.01289859466352465
Cr_5,-0.017782768133149197
Cr_6,-0.027660045448844883
Fe_1,-0.04334166717177298
Fe_2,-0.09751731411102316
Fe_3,-0.1232020620235455
Fe_4,-0.15242802172431955
Fe_5,-0.1801673901584851
Fe_6,-0.21333351106573192
Cd_1,-0.0059389744325757795
Cd_2,-0.004851079928846238
Cd_3,0.006292404495281216
Cd_4,0.021801818671855572
Cd_5,0.02561691537385615
Cd_6,0.0349445019680888
Zn_1,-0.06945001920601168
Zn_2,-0.12791016427529184
Zn_3,-0.1171614879736898
Zn_4,0.03523116164371373
Zn_5,0.5722787019908967
Zn_6,1.8318916793473143
Cu_1,0.00042066767850971424
Cu_2,0.0016985101686762994
Cu_3,0.006749033552024184
Cu_4,0.005884760453012264
Cu_5,0.006550109778102383
Cu_6,0.009347759472469458
Pb_1,0.012959339371393838
Pb_2,0.02089660811517117
Pb_3,0.02279633831911268
Pb_4,0.036285126742221216
Pb_5,0.05345684914883046
Pb_6,0.07111296747820378
