,A,CysB
R2,,0.32960489943631766
xmin,,-1.753862387
xmid,,
xmax,,2.60925802
ystart,,-14.546944100527453
yend,,14.87184300993374
control__wt_glc__1,-0.17660260860000002,0.009402596000000001
control__wt_glc__2,0.17660260860000002,-0.009402596000000001
fur__wt_dpd__1,3.5823675705999998,-0.23309463800000002
fur__wt_dpd__2,4.7475947103,-0.17926772
fur__wt_fe__1,2.0416696049,0.186805187
fur__wt_fe__2,1.9177202850000001,0.283247485
fur__delfur_dpd__1,2.4803519042,-0.32467438600000004
fur__delfur_dpd__2,3.1535944813,-0.13718796600000002
fur__delfur_fe2__1,2.7022927995,0.326990235
fur__delfur_fe2__2,2.8501323545,0.26560284100000003
acid__wt_ph5__1,2.2791337759,0.263152894
acid__wt_ph5__2,2.4266639408,0.235721322
acid__delgadx_ph5__2,2.3955363776,0.073550531
acid__delgadw_ph5__1,2.6169102144,0.315657621
acid__delgadw_ph5__2,2.6457385256,0.41196401200000005
acid__delgade_ph5__1,2.2765758149,0.41253481000000003
acid__delgade_ph5__2,2.439192402,0.243783521
oxidative__wt_pq__1,-20.8770242438,-0.889264469
oxidative__wt_pq__2,-20.6580339645,-0.699935802
oxidative__deloxyr_pq__1,-20.2741880188,-0.620564424
oxidative__deloxyr_pq__2,-20.045877079,-0.605630431
oxidative__delsoxr_pq__1,-20.1535890515,-0.694730956
oxidative__delsoxr_pq__2,-20.0574785645,-0.563037154
oxidative__delsoxs_pq__1,-20.0085958543,-0.7084298330000001
oxidative__delsoxs_pq__2,-20.7896320045,-0.654491247
nac_ntrc__wt_csn__1,0.140020111,0.007599515
nac_ntrc__wt_csn__2,0.1204153548,0.13775542300000002
nac_ntrc__wt_cytd__1,-1.8192394158,0.197560972
nac_ntrc__wt_cytd__2,-2.2266017252,0.177159004
nac_ntrc__wt_gln__1,-1.7984004357,0.094316431
nac_ntrc__wt_gln__2,-1.8763363898,0.028519389000000003
nac_ntrc__bw_delnac_csn__1,1.3148090098,-0.150064986
nac_ntrc__bw_delnac_csn__2,1.955477995,-0.09221822
nac_ntrc__bw_delnac_cytd__1,0.48524316910000004,0.29840082100000004
nac_ntrc__bw_delnac_cytd__2,0.6604475738000001,0.21623465200000003
nac_ntrc__bw_delnac_gln__1,-0.2641061648,0.19351441200000002
nac_ntrc__bw_delnac_gln__2,-0.2323933004,0.23312563100000003
nac_ntrc__bw_delnac_nh4__1,1.0703269611,0.23261966
nac_ntrc__bw_delnac_nh4__2,1.0343781377,0.247858197
misc__wt_no_te__1,-3.053700331,0.185526357
misc__wt_no_te__2,-0.3753871191,0.31376848500000004
misc__bw_delcbl__1,1.9002881957,0.35929021800000005
misc__bw_delcbl__2,1.8509604331,0.40859360800000005
misc__bw_delfabr__1,3.5170262486,0.283157425
misc__bw_delfabr__2,3.283310249,0.288119039
misc__bw_delfadr__1,1.192033607,0.252934059
misc__bw_delfadr__2,1.034162355,0.24774203
misc__nitr_031__1,0.5781139554,0.054420636
omics__wt_glu__1,1.0024170928,0.6655066460000001
omics__wt_glu__2,1.2336861217,0.256112127
omics__wt_gly__1,1.4084789626,0.12287151700000001
omics__wt_gly__2,1.3408802011,0.09579609
omics__wt_thr__1,0.46481200800000005,0.6914102320000001
omics__wt_thr__2,1.4046445579,0.572106517
omics__bw_ac__1,1.1037863797,0.17681841
omics__bw_ac__2,0.8415103866,0.155844262
omics__bw_fum__1,0.703211676,0.105824293
omics__bw_fum__2,0.6464178388,0.11827256500000001
omics__bw_glc__1,-0.0732227412,-0.007939408
omics__bw_glc__2,0.1835411201,0.014523761000000001
omics__bw_pyr__1,0.6054005485,0.019275205
omics__bw_pyr__2,0.7350767091,-0.29653573
ompr__wt_nacl__1,-1.4767339935,0.46084632600000003
ompr__wt_nacl__2,-1.3224097076,0.397514407
ompr__bw_delompr_nacl__1,2.3566166306,0.36503487300000004
ompr__bw_delompr_nacl__2,2.2486231141,0.44397356400000004
minspan__wt_ade__1,0.45102312980000003,0.427521668
minspan__wt_glc__2,1.7647040995,0.5168814190000001
minspan__wt_glc__3,1.2187037646,0.6107565610000001
minspan__wt_glc__4,1.7968786669,0.408060862
minspan__wt_glc_anaero__1,-1.8167580802,0.145610435
minspan__wt_glc_anaero__2,-1.3159108133,0.12740525900000002
minspan__wt_trp__1,-14.016848805,-0.208879424
minspan__bw_delcra_glc__2,-3.2130819224,-0.21824611400000002
minspan__bw_delcra_trp__1,-8.5299554405,0.016131175
minspan__bw_delmntr__1,-3.4069248183,-0.265108542
minspan__bw_delnac_ade__1,4.2411337023,1.009208422
minspan__bw_delnac_glc__1,-2.4422359938,0.5561607580000001
cra_crp__wt_ac__1,-1.2046823863,0.085691687
cra_crp__wt_ac__2,-1.0233157068,0.135547029
cra_crp__wt_fru__1,-0.1375452057,0.319733094
cra_crp__wt_fru__2,-0.3415930781,0.357994134
cra_crp__delcra_ac__1,-1.7346508641,0.155070534
cra_crp__delcra_ac__2,-1.6043300492,0.24418836200000002
cra_crp__delcra_fru__1,0.0214708698,0.347698818
cra_crp__delcra_fru__2,0.1161910762,0.23973764700000003
cra_crp__delcra_glc__1,1.9856669787,0.273681296
cra_crp__delcra_glc__2,1.8053263497,0.308501456
rpoB__wt_031__1,-0.7120944054,-0.17377235600000002
rpoB__wt_044__1,1.7252388481,0.119673473
rpoB__wt_lb__1,-9.9917577316,-0.5636499650000001
rpoB__wt_lb__2,-9.7135122919,-0.45298535100000004
rpoB__rpoBE546V_031__1,0.7294008217,-0.04316884
rpoB__rpoBE546V_044__1,0.9388541165000001,-0.061685622
rpoB__rpoBE546V_lb__1,-7.7673055236,0.018304791
rpoB__rpoBE546V_lb__2,-7.5191521142,-0.09175561
rpoB__rpoBE546V_glc__1,2.4180040988,0.257501386
rpoB__rpoBE672K_glc__1,3.8689043094,-0.317569833
rpoB__rpoBE672K_glc__2,3.7871153377,-0.221516657
rpoB__rpoBE672K_lb__1,-1.2339241601,-0.8983678820000001
rpoB__rpoBE672K_lb__2,-1.2653989608,-0.936463577
crp__wt_fru__1,1.5571787837,-0.011584473000000001
crp__wt_glyc__1,2.5049839503999998,0.212156545
crp__wt_glyc__2,2.4940457658,0.25167127300000003
crp__delar1_glyc__1,1.14096192,0.084255009
crp__delar1_glyc__2,-3.0313528044,-0.028371498000000002
crp__delar1ar2_glyc__1,0.8163840336,0.178139501
crp__delar1ar2_glyc__2,1.1272100604,0.149327081
crp__delar1ar2_glyc__3,1.0044726186,0.11292599
crp__delar2_glyc__1,-9.2368676607,-0.39646864200000004
crp__delar2_glyc__2,-5.0752854895,-0.11456613900000001
crp__delar2_glyc__3,-7.001034155,-0.028914986
crp__delcrp_fru__1,0.4571850564,-0.47868821600000006
crp__delcrp_fru__2,0.6790508994000001,-0.39281731200000003
crp__delcrp_fru__3,0.3560588912,-0.20789585400000002
crp__delcrp_glc__1,0.4177580898,-0.724991736
crp__delcrp_glc__2,0.3539685286,-0.616985239
crp__delcrp_glc__3,0.7277797508,-0.582212772
crp__delcrp_glyc__1,0.4375781737,-0.05858191
crp__delcrp_glyc__2,-0.2262363111,-0.10210619
crp__delcrp_glyc__3,-1.0721617194,-0.233448706
glu__glu_ale3__1,6.3989541941,-0.379803322
glu__glu_ale4__1,6.6280700546,0.797861471
glu__glu_ale5__1,5.0272789155,0.36692858700000003
glu__glu_ale6__1,8.6830502142,0.90668824
glu__glu_ale8__1,3.1764505618,-0.593478359
glu__glu_ale9__1,8.2738869903,0.870699879
glu__glu_ale10__1,6.6229908192,-0.12124567700000001
42c__wt_42c__1,3.3025394089,0.30263624
