,A,ArgP
R2,,0.044002276724141476
xmin,,-3.009960454
xmid,,
xmax,,1.130447335
ystart,,-5.3324331650261625
yend,,-0.1425911354369429
ecoli_00001,0.0121997684,-0.047943922
ecoli_00002,-0.0121997684,0.047943922
ecoli_00003,-5.0565029794,-0.03185748
ecoli_00004,-5.7363324438,-0.095937886
ecoli_00005,1.1912629701,-0.17083704800000002
ecoli_00006,0.7684808624,-0.203982829
ecoli_00007,-4.543352123,-0.014425987000000001
ecoli_00008,-3.9273404807,-0.21356196800000002
ecoli_00009,-0.6038938931,-0.129196624
ecoli_00010,-0.2218699809,-0.17488489000000002
ecoli_00011,-1.5771587610000002,0.046265245
ecoli_00012,-1.2409242006,0.048019027000000006
ecoli_00014,-1.0580291651,-0.047086884
ecoli_00015,-0.9919811485000001,-0.22083928300000003
ecoli_00016,-1.5979540544000002,0.034122379
ecoli_00017,-1.4623439494000001,0.09740171
ecoli_00018,-1.6401198568000002,0.007859148
ecoli_00019,-6.6828947759,-0.131520352
ecoli_00020,-6.8689374266000005,-0.175689707
ecoli_00021,-6.4942147706,0.563272789
ecoli_00022,-6.4079904614,0.528642614
ecoli_00023,-6.8492791968999995,0.13157574600000002
ecoli_00024,-6.5744391411,0.213318358
ecoli_00025,-7.0303520972,0.272496923
ecoli_00026,-7.1197039975,0.32208276900000005
ecoli_00027,2.3139446409,0.26615585
ecoli_00028,2.6185120966,0.34232263
ecoli_00029,1.0839435336,-0.028723984
ecoli_00030,1.1073585738,0.06946344
ecoli_00031,2.5173547064,0.12592166300000002
ecoli_00032,2.2461107548,0.24194172300000003
ecoli_00033,0.9166282853000001,0.48455732500000004
ecoli_00034,1.3661110748,0.6308629020000001
ecoli_00035,1.5779148587,0.132246329
ecoli_00036,1.6730040624,0.09683981900000001
ecoli_00037,0.7185641133,0.31628401500000003
ecoli_00038,1.4851052698,0.405271904
ecoli_00039,-0.31833145090000003,-0.13412126400000002
ecoli_00040,-0.4990360935,-0.017041855
ecoli_00041,-3.3902180382,0.034661161
ecoli_00042,-2.1472984897,-0.10462260200000001
ecoli_00043,-1.2867111203000001,-0.153325924
ecoli_00044,-1.350888173,-0.10961628100000001
ecoli_00045,-0.6441132738,-0.236488562
