,yggE
Cr_1,0.0007734436353703525
Cr_2,0.005670918220035376
Cr_3,0.011463437754222552
Cr_4,0.022661568153249927
Cr_5,0.034086650443100004
Cr_6,0.04411023269279538
Fe_1,-0.015756786732673663
Fe_2,-0.04154892077985167
Fe_3,-0.06521273030838008
Fe_4,-0.1012308376644922
Fe_5,-0.13349685720413412
Fe_6,-0.1638404335751423
Cd_1,0.00024482623625787954
Cd_2,0.002427265749913057
Cd_3,0.008449894833827633
Cd_4,0.018646853669407763
Cd_5,0.02076468390382629
Cd_6,0.028428697652181145
Zn_1,-0.01247797483319112
Zn_2,-0.009622756131607034
Zn_3,-0.0070779149682996065
Zn_4,-0.0017739538912793253
Zn_5,0.003651247369952136
Zn_6,-0.001579598670618209
Cu_1,-0.002232789149940045
Cu_2,0.0038473381816284385
Cu_3,0.01020388683226553
Cu_4,0.01578286448761619
Cu_5,0.023821594544465585
Cu_6,0.023403365970263344
Pb_1,-0.007381234656617544
Pb_2,-0.013056545484971059
Pb_3,-0.010316841206636668
Pb_4,-0.011370017970454734
Pb_5,-0.011881560831562991
Pb_6,-0.010015321600380316
