,pepT
Cr_1,0.001381350960564359
Cr_2,0.003391130877592132
Cr_3,0.003070296418271996
Cr_4,0.0024012216494579725
Cr_5,-0.00251009810713007
Cr_6,-0.007362089692645205
Fe_1,-0.00814932293162564
Fe_2,-0.031261581156158014
Fe_3,-0.0533506616289454
Fe_4,-0.07544638476692175
Fe_5,-0.09175232052465568
Fe_6,-0.1053823219691168
Cd_1,0.006497637446900471
Cd_2,0.012558349547369755
Cd_3,0.009042888834433957
Cd_4,0.007307138629423774
Cd_5,0.0009496118445858012
Cd_6,-1.8530971915755004e-05
Zn_1,-0.02449684401634505
Zn_2,-0.05415329446809557
Zn_3,-0.06440853357033552
Zn_4,-0.07513482736728301
Zn_5,-0.08779215630607723
Zn_6,-0.11085905463964306
Cu_1,0.0041892327379271215
Cu_2,0.008830122915677164
Cu_3,0.019109930448226158
Cu_4,0.027243177976954774
Cu_5,0.038878051588488685
Cu_6,0.05363964501523135
Pb_1,0.00747094753318282
Pb_2,0.013229922620459056
Pb_3,0.03342337317304018
Pb_4,0.05433624025433799
Pb_5,0.06941693945949462
Pb_6,0.08696771005409183
