,yhhT
Cr_1,-0.006571549491487617
Cr_2,-0.01657716071619957
Cr_3,-0.008188787830095752
Cr_4,-0.0017949350045847253
Cr_5,0.005629777544319286
Cr_6,0.01923943235178594
Fe_1,-0.04130534722887546
Fe_2,-0.09336886636715297
Fe_3,-0.13664046489020334
Fe_4,-0.19707230500382614
Fe_5,-0.2417732947074752
Fe_6,-0.29184479146956194
Cd_1,0.0075169403624353905
Cd_2,0.012921841419279816
Cd_3,0.013302241607610257
Cd_4,0.0168306846183061
Cd_5,0.016361069582276896
Cd_6,0.020371573009214983
Zn_1,-0.2130171781017998
Zn_2,-0.17397963486242413
Zn_3,-0.024412094696254757
Zn_4,-0.08302053126932987
Zn_5,-0.07922080760637014
Zn_6,-0.04247013410077235
Cu_1,-0.0014587071573010635
Cu_2,0.0013025448362699533
Cu_3,4.997326118916247e-05
Cu_4,0.00615256100190986
Cu_5,0.01404164722820361
Cu_6,0.01944888598613672
Pb_1,0.0005120373461447663
Pb_2,0.012386292281016585
Pb_3,0.015693084509467353
Pb_4,0.02688372588826078
Pb_5,0.04163827314550548
Pb_6,0.05651498870893981
