,narU
Cr_1,0.00740732022564773
Cr_2,0.01775190784155593
Cr_3,0.025828765872483027
Cr_4,0.032107495348471515
Cr_5,0.037486528666373066
Cr_6,0.04204753113846445
Fe_1,-0.001380537685842924
Fe_2,-0.003466833828786989
Fe_3,-0.012661448903629522
Fe_4,-0.024117506381155132
Fe_5,-0.026871350497825103
Fe_6,-0.028937382356585162
Cd_1,0.0372110045881501
Cd_2,0.06446340588525787
Cd_3,0.08407953162365557
Cd_4,0.09596741228995777
Cd_5,0.09464722734740154
Cd_6,0.09673499865448744
Zn_1,0.00035815134031269856
Zn_2,0.0061234143951215
Zn_3,0.014341077201725762
Zn_4,0.02113372242476224
Zn_5,0.02296373621995156
Zn_6,0.022962547269300287
Cu_1,0.006659583233216639
Cu_2,0.015192786262492859
Cu_3,0.019355709293854037
Cu_4,0.019424356605413442
Cu_5,0.01893359039702369
Cu_6,0.024552385233537498
Pb_1,0.0024127597690737877
Pb_2,0.006319585423406154
Pb_3,0.0124429543247221
Pb_4,0.015519677362277962
Pb_5,0.01717678929672776
Pb_6,0.022228438845832917
