,-0.10363458735175096,-0.0690897249011673,-0.034544862450583635,2.7755575615628914e-17,0.03454486245058369,0.06908972490116735,0.10363458735175102,0.13817944980233468,0.17272431225291834,0.20726917470350198,0.24181403715408567,0.27635889960466936,0.310903762055253,0.34544862450583663,0.3799934869564203,0.414538349407004,0.44908321185758765,0.4836280743081713,0.5181729367587549,0.5527177992093386
thresh,-0.1209070185770428,0.1209070185770428,8,,,,,,,,,,,,,,,,,
unreg,0,6,166,3261,175,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Crp,0,0,33,465,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FliA,0,0,6,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ModE,0,1,8,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and FliA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp and ModE,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FliA and ModE,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crp, FliA, and ModE",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['yghW'],[],[],[]
