,A,FliA,ModE,Crp
R2,,0.02255140739776107,0.020600027366927898,0.005835492127080788
xmin,,-3.1576643200000003,-2.0703322897647167,-9.852476477
xmid,,2.9707049145558178,,
xmax,,8.054350523706072,0.9330008310000012,1.6003325529999994
ystart,,-0.9351398233706822,0.6046215247437325,-2.410033988006013
yend,,0.2666594621452161,-1.7279638417715666,-0.5146090365636309
control__wt_glc__1,-0.287865198639393,-0.4411986110000004,-0.08443098800000026,0.012478645999999928
control__wt_glc__2,0.2878651986393977,0.4411986109999999,0.08443098800000115,-0.012478645999999928
fur__wt_dpd__1,-3.71476027555467,-0.9934258690000002,0.20473306800000124,0.07757413100000042
fur__wt_dpd__2,-4.034608838705488,-0.8406642950000003,0.37840711700000096,-0.0906821709999992
fur__wt_fe__1,-0.3475732442946528,-2.8216205619999997,-0.29148096799999834,-0.030513672999999738
fur__wt_fe__2,-0.1123325742180141,-2.0858129740000004,-0.2607217699999982,0.0581907200000007
fur__delfur_dpd__1,-3.2812049790750804,-1.2868297380000002,0.0674656570000014,-0.10598198399999957
fur__delfur_dpd__2,-3.7642498376130953,-1.3141161720000003,0.08649283300000121,-0.22346684100000047
fur__delfur_fe2__1,-1.5856001807571536,-0.19587994600000025,-0.06595967399999836,0.4364299129999996
fur__delfur_fe2__2,-1.5887890495676271,-0.18715458600000007,0.01086965000000184,0.36756339300000107
acid__wt_ph5__1,-2.1043254117021983,-0.7627856620000002,-0.11608423799999912,0.3455225730000002
acid__wt_ph5__2,-1.6094909269375746,-0.4265248400000004,0.06044007200000135,0.34313646300000045
acid__delgadx_ph5__2,-1.4413825287616298,-0.7168831890000003,-0.28316338999999857,0.3393877130000007
acid__delgadw_ph5__1,-1.595685426045614,-0.6662751250000003,-0.07260715599999834,0.3838637929999997
acid__delgadw_ph5__2,-1.9046890876724116,-0.365508524,-0.01767099099999836,0.3398617829999999
acid__delgade_ph5__1,-1.872453172662401,-1.1096626290000002,-0.19220251699999835,0.432408723
acid__delgade_ph5__2,-1.5661079241302398,-0.7746300120000003,-0.13483341399999915,0.4824361929999999
oxidative__wt_pq__1,-3.6125303706455134,-1.7977564990000003,0.8591787540000011,0.17662370300000066
oxidative__wt_pq__2,-3.74691870617974,-1.1152016679999999,0.7426317380000009,0.24038529300000103
oxidative__deloxyr_pq__1,-3.5641364442064565,-0.6923030000000003,0.7022437640000012,0.5131550130000004
oxidative__deloxyr_pq__2,-3.750640409815176,-0.5069669500000002,0.7146530300000018,0.5363373029999998
oxidative__delsoxr_pq__1,-4.572236297950092,-1.3221565120000005,0.28117128800000124,0.3346725330000009
oxidative__delsoxr_pq__2,-4.6448844129057845,-1.0775050640000003,0.30486315000000186,0.3870598730000001
oxidative__delsoxs_pq__1,-3.516770808910568,-0.8885977159999999,0.4645783810000017,0.5134629630000003
oxidative__delsoxs_pq__2,-4.348955892903229,-1.1383556150000005,0.19350064000000167,0.5104807529999995
nac_ntrc__wt_csn__1,-1.997266414772664,-1.5384015560000004,0.09817187300000096,-0.0727968299999997
