,A,TtdR
R2,,0.017635679429656048
xmin,,-6.4700505344
xmid,,-1.2846112894060602
xmax,,6.1220286395
ystart,,-0.028846808598866347
yend,,1.1098480721751118
SRX1125282,-0.0652514334,-0.1563170032
SRX1125283,-1.574961183,-1.0921966873
SRX1125284,-2.0805329738,-1.3454396037
SRX1125285,-2.6702849894,-1.3549223242
SRX1125286,-2.4140019973999998,-1.6248524502000001
SRX1125287,-2.22666331,-1.3141159912
SRX1125288,0.425124571,-0.050520623300000005
SRX1125289,-1.4483757724,-2.0566229073
SRX1125290,-1.5928338199,-1.4754890905
SRX1125291,-2.3690076925,-1.9128603059
SRX1125292,-2.3083768663,-1.6849554025
SRX1125293,-1.275934441,-0.9268901358
SRX1125294,-0.3598731376,0.2068376265
SRX1125295,-1.0632290603,-0.5561749869
SRX1125296,-1.7633849007,-1.2984580437
SRX1125297,-2.3995065209,-1.3218623922
SRX1125298,-1.7601011513,-1.2232817638
SRX1125299,-2.4188779263,-0.9482203973000001
SRX5694250,4.5470866393,0.632634625
SRX5694251,2.9400920385,-2.6169247704
SRX5694252,1.3120063800000001,-0.7313283739
SRX5694253,0.9571327075,0.4301740913
SRX5694254,3.8736372323,0.8195640471000001
SRX5694255,3.705416841,-1.9370057883
SRX5694256,-0.2024909994,-0.7135766737
SRX5694257,0.0220844106,-1.4859019353
SRX5694258,0.33166934600000003,0.9184141876
SRX5694259,1.5578592938,-3.7376556608
SRX5694260,-0.1624089228,0.37135514280000004
SRX5694261,1.2243429973,-3.3291745766
SRX5694262,0.47725052910000004,-0.7985119981000001
SRX5694263,-0.6975203909000001,0.0200128901
SRX5694264,1.5023454659,-0.7746540317
SRX5694265,-0.27942922940000003,0.1693671767
SRX5694267,0.2123392715,0.2901486534
SRX5694268,0.4541759349,-0.3548650947
SRX5694269,-0.1760030797,0.6947444733
SRX5694271,-0.3110252994,0.0178021733
SRX5694273,0.8357196683,-1.2635571516
SRX5694274,-0.051439008700000004,0.5634755628
SRX5694275,0.0633727087,-0.4698878621
SRX5694276,1.3530148923,-2.7806488667
SRX5694277,-0.79841509,-0.2962663108
SRX5694278,-0.6842578342,-1.8927573604
SRX5694279,-0.062192637700000004,0.21619987540000002
SRX5694280,-0.48022598450000004,-1.0188333252
SRX5694281,0.5518943943,0.7237792142
SRX5694282,0.5066125829,-3.3258740706
SRX5694283,-0.23031510600000002,-0.9327173054000001
SRX5694284,-0.07468430350000001,-2.829088578
SRX5694285,0.38677503090000004,0.5868309727000001
SRX5694286,0.0381111227,0.4798545134
SRX5694287,0.0975836825,-0.9405855009
SRX5694288,0.25536151700000004,-0.6282466168
SRX5694289,3.0195809421,0.25026279
