,ygbN
Cr_1,0.0016966703746470367
Cr_2,0.002495228786302767
Cr_3,0.006897773344794997
Cr_4,0.009557954307802636
Cr_5,0.011515350315831584
Cr_6,0.014798520760125231
Fe_1,-0.0039504987853215285
Fe_2,-0.02082223309702614
Fe_3,-0.037034105484096164
Fe_4,-0.052048174010523605
Fe_5,-0.0576918235420375
Fe_6,-0.07125706512783878
Cd_1,0.0032488064307217078
Cd_2,0.012584170366045849
Cd_3,0.019341630157420468
Cd_4,0.025514995634630708
Cd_5,0.025112470300774816
Cd_6,0.03252088608744458
Zn_1,0.0036056836514787283
Zn_2,-0.01052631433618259
Zn_3,-0.012106971854243266
Zn_4,0.0034138225693056148
Zn_5,0.010731801204011364
Zn_6,0.023698476929539327
Cu_1,-0.0016774333221796554
Cu_2,-0.009132506585953071
Cu_3,-0.013450512500319351
Cu_4,-0.018638572325691428
Cu_5,-0.020045187068822256
Cu_6,-0.019512119349012626
Pb_1,0.006116615006768204
Pb_2,0.007787016829265927
Pb_3,-3.332991612056891e-05
Pb_4,0.00023708926502461391
Pb_5,-0.0010513118796334699
Pb_6,0.0018058531590115676
