,A,GadX,GadW
R2,,0.6822352538876508,0.5869578821407031
xmin,,-7.9997220445,-6.553144841
xmid,,-2.1105369336245485,-2.3451829979087546
xmax,,3.063129088213076,3.201331527
ystart,,-14.440967574987015,-15.268903982740733
yend,,16.0597646123231,13.085589884902118
control__wt_glc__1,0.0122145335825993,0.05034560650000053,0.06424297199999973
control__wt_glc__2,-0.0122145335826193,-0.05034560650000053,-0.06424297199999973
fur__wt_dpd__1,7.410061474614256,0.0018779744999992687,0.016480986000000364
fur__wt_dpd__2,7.468731967387454,-0.2226567355000002,-0.14052072299999985
fur__wt_fe__1,1.119182013571656,-0.2452050735000002,-0.05359987500000063
fur__wt_fe__2,0.465939889476337,-0.27420616150000043,-0.19429329699999973
fur__delfur_dpd__1,9.29493720830344,0.4358068684999985,0.4734638590000007
fur__delfur_dpd__2,9.464585137173929,0.5825835075000008,0.4950283070000001
fur__delfur_fe2__1,-0.7747285116553708,-0.1916528105000017,-0.6283179329999999
fur__delfur_fe2__2,-0.5251109237527971,-0.2312257124999997,-0.5109412700000009
acid__wt_ph5__1,7.218614911696508,0.7887973084999995,1.183885023000001
acid__wt_ph5__2,7.356558066927841,0.7702489964999994,1.2102200699999992
acid__delgadx_ph5__2,5.112543335392954,-7.9997220445,3.201331527
acid__delgadw_ph5__1,7.907693445793902,1.1232866215,-6.023342154
acid__delgadw_ph5__2,7.560132966406172,1.082268986499999,-6.553144841
acid__delgade_ph5__1,-10.58357071481576,0.7466471415000004,1.2366081880000008
acid__delgade_ph5__2,-10.654355895909244,0.6977910974999997,1.1195263419999997
oxidative__wt_pq__1,4.3722573247054575,-1.0220851425,-0.20298135099999914
oxidative__wt_pq__2,4.003183490028075,-1.0583158675000002,-0.4214986350000007
oxidative__deloxyr_pq__1,3.699471676872217,-0.4701019115000005,-0.031181391999999693
oxidative__deloxyr_pq__2,3.7569505129724177,-0.4400705725000007,-0.1713787850000008
oxidative__delsoxr_pq__1,6.660111118248564,-1.1171747124999998,-0.15862981300000012
