,dnaX
Cr_1,0.004129647643215409
Cr_2,0.016488657546336327
Cr_3,0.024286432214830872
Cr_4,0.02175428218317161
Cr_5,0.02521822130037159
Cr_6,0.020638125593325424
Fe_1,0.007290094864072272
Fe_2,0.025186597937565752
Fe_3,0.05541529499656602
Fe_4,0.08481406704938126
Fe_5,0.11165448082628912
Fe_6,0.13348896080455125
Cd_1,0.0044457888978032345
Cd_2,0.010937178312520036
Cd_3,0.020219778652551538
Cd_4,0.026718725379903312
Cd_5,0.02603361426362226
Cd_6,0.031112154861171637
Zn_1,-0.027381166732860708
Zn_2,-0.0331812243749875
Zn_3,-0.029521210176351908
Zn_4,-0.032941245112251404
Zn_5,-0.04742692661499204
Zn_6,-0.06042626604319449
Cu_1,0.00542332097804762
Cu_2,0.011939308483217571
Cu_3,0.027586376630554542
Cu_4,0.046837604902011484
Cu_5,0.06570796866718304
Cu_6,0.08520359975693298
Pb_1,-0.008388933570062634
Pb_2,-0.009642223922384565
Pb_3,-0.0006231960804087107
Pb_4,0.009274800934682696
Pb_5,0.01186449208825838
Pb_6,0.023761807562422736
