,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,0.0,0.6298425734257002,3.0,0.0,-0.1001445052,2.0,0.6739151622,4.0,-0.5737706570000001,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,68.00111467663332,0.766476758229265,3.0,1.0,68.7071309868,3.0,67.1858919088,5.0,68.1103211343,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-6.97606609595,1.0629988865062208,4.0,6.0,-6.5123429652,20.0,-8.3950130459,40.0,-7.0922656198,63.0,-5.9046427529,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-5.47131052105,1.5914179800734964,4.0,7.0,-3.2686573531,33.0,-7.0122138867,81.0,-6.0786026801,82.0,-5.5257681643000005,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,15.165907363250001,3.5100022910326545,4.0,8.0,9.9947243268,51.0,17.2130999796,65.0,17.4857147439,76.0,15.9700904027,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,11.557942033433333,2.0502449919575616,3.0,9.0,9.1915713076,22.0,12.8021332812,49.0,12.6801215115,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-1.20713798195,2.337395467169144,2.0,10.0,-2.8599261671000002,26.0,0.44565020320000004,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,11.877427383366665,4.397844404367742,3.0,11.0,11.7230990821,54.0,7.5587784708,83.0,16.3504045972,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,16.279049753949998,3.4619326560814287,4.0,12.0,12.0961606663,48.0,20.371034015,64.0,17.2491385795,78.0,15.399865755,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-1.8599713721500002,0.4930271765141993,4.0,13.0,-1.5206859739,38.0,-2.58766204,67.0,-1.5981308261,72.0,-1.7334066486,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,-6.246734250733333,3.753658517773287,3.0,14.0,-8.3384484805,41.0,-8.4885056054,85.0,-1.9132486663,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,-6.786773385375,2.8799125882918744,4.0,15.0,-9.1035953346,52.0,-9.2724397403,71.0,-3.4359131476,80.0,-5.335145319,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,16.344950195466666,5.000343081141917,3.0,16.0,12.8252774039,53.0,22.0686683389,77.0,14.1409048436,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,17.955976032833334,4.2124451833438785,3.0,17.0,13.488073282,50.0,21.8551835986,66.0,18.5246712179,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,13.530958069966667,0.9662670215748428,3.0,18.0,13.9306026281,25.0,12.4289799688,62.0,14.233291613,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,1.4046097985500001,5.162193077798966,4.0,19.0,-2.7665303483,28.0,4.308113568,56.0,7.2013979107,73.0,-3.1245419362,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,13.954835825900002,2.192643420159714,4.0,21.0,13.5496261674,34.0,11.0133366393,45.0,15.6839267933,58.0,15.5724537036,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,-5.304203194399999,3.100464164984025,4.0,23.0,-8.3703661711,42.0,-7.2277163236,70.0,-1.5269958233,79.0,-4.0917344596,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,1.7075452763500003,3.3941094573859893,4.0,24.0,4.9928774354000005,29.0,0.4578746749,68.0,-2.4830519633,74.0,3.8624809584,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,0.51093182645,0.5941297662592664,4.0,27.0,0.388061138,31.0,0.6895974071000001,69.0,1.1938069905,75.0,-0.2277382298,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,16.1014440983,5.937905979240333,4.0,30.0,13.177647739,32.0,13.9545721621,59.0,12.3216100174,86.0,24.9519464747,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,13.8027511787,,1.0,35.0,13.8027511787,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,16.81926299625,4.940785896206802,4.0,36.0,14.4306615822,44.0,24.1368402038,60.0,13.3970847199,61.0,15.3124654791,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,-2.7755575615628914e-17,1.73903882498913,4.0,37.0,-0.7761156295,46.0,2.2328238485,57.0,-1.8292425866,84.0,0.3725343676,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,-8.46255162895,2.0098289549214083,2.0,39.0,-7.0413879459,43.0,-9.883715312,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,-7.4389917117,6.63717820881971,2.0,47.0,-12.1321854311,55.0,-2.7457979923,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,0.0,0.8394652777387156,3.0,87.0,0.1076099088,90.0,-0.8880813074,93.0,0.7804713986,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,-2.183181175666667,0.39750368236169925,3.0,88.0,-1.7507442309,91.0,-2.2661408994,94.0,-2.5326583967,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,-5.948373816999999,3.354441174975598,3.0,89.0,-2.9538557098,92.0,-5.3179765131,95.0,-9.5732892281,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,0.0,2.6703171162485364,4.0,96.0,-2.3261163024,97.0,3.2570676701,98.0,-2.0369619898,99.0,1.1060106221,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,2.21054703215,1.4051417703599625,2.0,100.0,1.2169617578,104.0,3.2041323065,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,0.844895032,1.4458453505203779,2.0,101.0,-0.1774720199,105.0,1.8672620839,,,,,,,,,,,,,,,,,,,,,,,,
32,immunity_isolated__WT_WT,0.0,2.2538073080477936,12.0,102.0,1.5231785021,110.0,4.9297010784,117.0,-1.1580565427,125.0,0.3550315443,131.0,-0.0558164845,134.0,-0.1471335816,138.0,1.8211985613000001,159.0,-4.0803306855,162.0,-0.9609532689,164.0,0.8949763906,170.0,-0.7865885929,174.0,-2.3352069206,,,,
