,-0.0573060012,-0.04584480096,-0.034383600720000004,-0.022922400480000008,-0.01146120024000001,-1.3877787807814457e-17,0.011461200239999983,0.02292240047999998,0.03438360071999998,0.04584480095999997,0.05730600119999997,0.06876720143999997,0.08022840167999996,0.09168960191999996,0.10315080215999996,0.11461200239999995,0.12607320263999994,0.13753440287999996,0.14899560311999993,0.16045680335999996
thresh,-0.0286530006,0.0286530006,2,,,,,,,,,,,,,,,,,
unreg,2,9,24,94,1602,3099,665,170,77,43,22,16,5,0,2,0,0,0,0,0
AlgU,0,1,1,0,1,3,7,12,11,17,9,6,4,2,1,1,0,0,0,0
unreg_genes,['PSPTOA0058' 'PSPTO_RS29625'],"['excA' 'PSPTOA0030' 'PSPTOA0032' 'PSPTOA0031' 'PSPTOA0018' 'PSPTOA0027'
 'PSPTO_1207' 'PSPTOA0039' 'PSPTOA0014']","['lhgO' 'PSPTO_5407' 'PSPTOA0017' 'PSPTO_5340' 'PSPTOA0035' 'PSPTOA0015'
 'PSPTO_1824' 'PSPTO_RS24375' 'PSPTO_0750' 'PSPTOA0037' 'PSPTOA0019'
 'copZ' 'cueR' 'PSPTO_RS23455' 'PSPTO_RS25995' 'PSPTO_RS10440' 'fliC'
 'PSPTO_4282' 'PSPTO_4484' 'PSPTO_RS19045' 'PSPTOA0064' 'PSPTO_3748'
 'PSPTOA0057' 'PSPTOA0061']",[],[],[],[],[],"['PSPTO_3343' 'PSPTO_2760' 'PSPTO_3296' 'PSPTO_2054' 'PSPTO_3883'
 'PSPTO_4652' 'PSPTOA0003' 'treZ' 'PSPTO_RS12775' 'PSPTO_1730'
 'PSPTO_RS29505' 'acnA' 'PSPTO_4840' 'mucA' 'PSPTO_3312' 'glgX'
 'PSPTO_2029' 'PSPTO_2895' 'PSPTO_3313' 'PSPTO_2605' 'PSPTO_1195'
 'PSPTO_0220' 'PSPTO_1608' 'PSPTO_0389' 'PSPTOA0002' 'PSPTO_2896'
 'PSPTO_2807' 'PSPTO_0380' 'PSPTO_RS29525' 'PSPTO_0119' 'PSPTO_2471'
 'PSPTO_0468' 'mucB' 'PSPTO_4357' 'PSPTO_0469' 'PSPTO_3465' 'PSPTO_1631'
 'hrpV' 'PSPTO_3308' 'PSPTO_3768' 'PSPTO_4780' 'PSPTO_3626' 'PSPTO_3701'
 'PSPTO_2500' 'PSPTO_4577' 'PSPTO_1513' 'PSPTO_2023' 'malQ' 'PSPTO_4555'
 'PSPTO_RS25355' 'PSPTO_RS29995' 'PSPTO_4135' 'PSPTO_3580' 'fumC-1' 'yegS'
 'PSPTO_2650' 'PSPTO_RS03535' 'PSPTO_3264' 'gspE' 'PSPTO_4084' 'choW'
 'PSPTO_4578' 'PSPTO_4350' 'PSPTO_3309' 'PSPTO_1489' 'PSPTO_4349'
 'PSPTO_3478' 'PSPTO_0388' 'PSPTO_0764' 'PSPTO_1594' 'PSPTO_1707'
 'PSPTO_3857' 'PSPTO_3704' 'PSPTOA0012' 'PSPTO_RS11670' 'PSPTO_1619'
 'PSPTO_3655']","['PSPTO_3502' 'PSPTO_5529' 'algI' 'PSPTO_3311' 'algF' 'PSPTO_4134' 'poxB'
 'PSPTO_RS01215' 'PSPTO_5492' 'glgA' 'gspH' 'gspG' 'PSPTO_1490'
 'PSPTO_2470' 'PSPTO_RS10655' 'PSPTO_0464' 'algJ' 'PSPTO_3115' 'algL'
 'PSPTO_0744' 'PSPTO_4356' 'algA' 'PSPTO_1512' 'PSPTO_5390'
 'PSPTO_RS13850' 'PSPTO_3378' 'PSPTO_2042' 'PSPTO_1185' 'PSPTO_1588'
 'PSPTO_2492' 'PSPTO_RS18670' 'PSPTO_3882' 'PSPTO_3546' 'PSPTO_3545'
 'gspF' 'treS' 'PSPTO_2622' 'PSPTO_0281' 'PSPTO_4673' 'PSPTO_2256'
 'PSPTO_1410' 'PSPTO_1506' 'PSPTO_0154']","['PSPTO_0742' 'PSPTO_2649' 'PSPTO_3016' 'PSPTO_2467' 'ngg' 'clsB'
 'PSPTO_3165' 'PSPTO_4020' 'PSPTO_2071' 'PSPTO_1507' 'PSPTO_0743'
 'PSPTO_2716' 'PSPTO_RS01965' 'PSPTO_1870' 'PSPTO_RS19170' 'PSPTO_1202'
 'algX' 'PSPTO_2734' 'PSPTO_2695' 'PSPTO_0891' 'PSPTO_4516' 'PSPTO_2506']","['sodC' 'algG' 'PSPTO_3174' 'PSPTO_2051' 'algE' 'PSPTO_4906' 'PSPTO_2048'
 'algK' 'PSPTO_2748' 'PSPTO_1241' 'PSPTO_0993' 'PSPTO_2769' 'PSPTO_0453'
 'osmE' 'PSPTO_0507' 'asnB']",['PSPTO_1242' 'PSPTO_5351' 'blc' 'PSPTO_1596' 'PSPTO_2377'],[],['algD' 'algU'],[],[],[],[],[]
AlgU_genes,[],['PSPTO_3230'],['PSPTO_3123'],[],['dadA'],['PSPTO_0465' 'gltP' 'aceE'],"['fxsA' 'PSPTO_5518' 'PSPTO_0336' 'PSPTO_0970' 'PSPTO_1722' 'PSPTO_1626'
 'PSPTO_1206']","['PSPTO_4293' 'cls' 'PSPTO_0472' 'PSPTO_5636' 'PSPTO_3505' 'PSPTO_0556'
 'PSPTO_2790' 'PSPTO_4030' 'PSPTO_2025' 'PSPTO_2124' 'PSPTO_1281'
 'PSPTO_1597']","['PSPTO_5226' 'hrpR' 'PSPTO_5408' 'PSPTO_RS00465' 'algR' 'PSPTO_0155'
 'PSPTO_3890' 'PSPTO_0219' 'PSPTO_3708' 'PSPTO_2350' 'glgP']","['PSPTO_2684' 'osmC' 'PSPTO_1511' 'PSPTO_1625' 'PSPTO_2247' 'PSPTO_1607'
 'PSPTO_0675' 'PSPTO_1363' 'PSPTO_1491' 'PSPTO_4843' 'PSPTO_1847'
 'PSPTO_4974' 'PSPTO_1164' 'PSPTO_3700' 'wecB' 'PSPTO_4103' 'PSPTO_3114']","['PSPTO_4772' 'PSPTO_0333' 'PSPTO_4546' 'PSPTO_0676' 'PSPTO_4381'
 'PSPTO_2659' 'PSPTO_5502' 'PSPTO_1739' 'PSPTO_0318']","['PSPTO_4143' 'PSPTO_3504' 'PSPTO_0304' 'PSPTO_0451' 'PSPTO_4586'
 'PSPTO_0374']",['PSPTO_4237' 'PSPTO_RS18015' 'PSPTO_1910' 'PSPTO_5169'],['PSPTO_0156' 'PSPTO_1485'],['PSPTO_2207'],['PSPTO_1417'],[],[],[],[]
