,A,AlgU
R2,,0.8481388357835257
xmin,,-1.1804996813
xmid,,
xmax,,9.8861723508
ystart,,-9.120214583354281
yend,,79.3754213389076
algU_regulon__empty_vector__1.0,-0.1001445052,0.0131502696
algU_regulon__algU_overexpression__1.0,68.7071309868,9.5047566058
algU_regulon__empty_vector__2.0,0.6739151622,-0.26466732530000003
algU_regulon__algU_overexpression__2.0,67.1858919088,9.8861723508
algU_regulon__empty_vector__3.0,-0.5737706570000001,0.2515170557
algU_regulon__algU_overexpression__3.0,68.1103211343,8.633681352
co_culture__c_viol_40__1.0,-6.5123429652,0.1331599328
co_culture__c_viol_12.5__1.0,-3.2686573531,-0.0102368715
co_culture__b_thai_30__1.0,9.9947243268,0.8151493219
co_culture__b_thai_25__1.0,9.1915713076,0.7089262117
co_culture__mono_30__1.0,-2.8599261671000002,0.2863178596
co_culture__b_thai_12.5__1.0,11.7230990821,0.7920990346
co_culture__b_thai_35__1.0,12.0961606663,1.0542284403
co_culture__mono_25__1.0,-1.5206859739,0.32940894860000003
co_culture__c_viol_30__1.0,-8.3384484805,-0.0658398788
co_culture__c_viol_35__1.0,-9.1035953346,-0.2094250999
co_culture__b_thai_40__1.0,12.8252774039,1.2561268681
co_culture__b_thai_45__1.0,13.488073282,1.2583133569
co_culture__b_thai_c_viol_40__1.0,13.9306026281,1.1107514497
co_culture__mono_35__1.0,-2.7665303483,0.2066532391
co_culture__c_viol_40__2.0,-8.3950130459,-0.3127537777
co_culture__b_thai_c_viol_45__1.0,13.5496261674,1.3375013664
co_culture__b_thai_25__2.0,12.8021332812,1.0532385352
co_culture__c_viol_25__1.0,-8.3703661711,-0.26768958190000003
co_culture__mono_45__1.0,4.9928774354000005,0.5359793611
co_culture__b_thai_c_viol_40__2.0,12.4289799688,1.1938663936
co_culture__mono_30__2.0,0.44565020320000004,0.5161422714
co_culture__mono_40__1.0,0.388061138,0.17413036010000002
co_culture__mono_35__2.0,4.308113568,0.592581733
co_culture__mono_45__2.0,0.4578746749,0.41925410220000003
co_culture__b_thai_c_viol_35__1.0,13.177647739,1.0034769332
co_culture__mono_40__2.0,0.6895974071000001,0.3085030559
co_culture__b_thai_c_viol_35__2.0,13.9545721621,1.2050353318
co_culture__c_viol_12.5__2.0,-7.0122138867,-0.2663214722
co_culture__b_thai_c_viol_45__2.0,11.0133366393,1.3016510553
co_culture__b_thai_c_viol_25__1.0,13.8027511787,1.0684962425
co_culture__b_thai_c_viol_30__1.0,14.4306615822,1.0230278497
co_culture__mono_12.5__1.0,-0.7761156295,-0.059553464900000005
co_culture__mono_25__2.0,-2.58766204,0.24164769260000002
co_culture__c_viol_45__1.0,-7.0413879459,0.2533455317
co_culture__c_viol_40__3.0,-7.0922656198,-0.1053946386
co_culture__c_viol_30__2.0,-8.4885056054,-0.07541916700000001
co_culture__c_viol_25__2.0,-7.2277163236,-0.0435508501
co_culture__c_viol_45__2.0,-9.883715312,-0.2003078473
co_culture__b_thai_c_viol_30__2.0,24.1368402038,1.855170623
co_culture__b_thai_c_viol_45__3.0,15.6839267933,1.4654964271
co_culture__mono_12.5__2.0,2.2328238485,0.12251749860000001
co_culture__b_thai_c_viol_12.5__1.0,-12.1321854311,-0.7146715798000001
co_culture__b_thai_35__2.0,20.371034015,2.0699511703
co_culture__b_thai_25__3.0,12.6801215115,1.2544523183
co_culture__b_thai_45__2.0,21.8551835986,2.2719075865000002
co_culture__b_thai_30__2.0,17.2130999796,1.8324035276
co_culture__c_viol_35__2.0,-9.2724397403,-0.0980489403
co_culture__b_thai_40__2.0,22.0686683389,2.3160476424
co_culture__b_thai_12.5__2.0,7.5587784708,0.6426430860000001
co_culture__b_thai_c_viol_12.5__2.0,-2.7457979923,0.042873211200000004
co_culture__mono_35__3.0,7.2013979107,0.6286177801
co_culture__mono_12.5__3.0,-1.8292425866,-0.0832276012
co_culture__b_thai_c_viol_45__4.0,15.5724537036,1.3771131036
