,yddL
Cr_1,-0.008391894325568191
Cr_2,-0.024401560382776074
Cr_3,-0.026342024700543105
Cr_4,-0.027644653709639647
Cr_5,-0.028875869655048562
Cr_6,-0.028890075979090806
Fe_1,-0.018661578076557987
Fe_2,-0.05237280709090622
Fe_3,-0.0786184852938999
Fe_4,-0.12082521095658467
Fe_5,-0.16136350123867452
Fe_6,-0.1823626752181062
Cd_1,0.003065887739669305
Cd_2,0.004068109784371908
Cd_3,0.005567368077044785
Cd_4,0.0049005478912518856
Cd_5,0.0014998669449335367
Cd_6,0.009689747292103888
Zn_1,-0.02495288926766585
Zn_2,-0.07117883740992048
Zn_3,-0.09455594389778202
Zn_4,-0.10340065712384007
Zn_5,-0.10707571407261178
Zn_6,-0.11223243656341253
Cu_1,0.003604090960783967
Cu_2,0.007337380132075837
Cu_3,0.01100241707985333
Cu_4,0.013274938289049376
Cu_5,0.01329682617944208
Cu_6,0.014057521909348588
Pb_1,0.002948422640659572
Pb_2,-0.002386127579088182
Pb_3,0.001954247512552935
Pb_4,0.014705247352542285
Pb_5,0.03077100052676005
Pb_6,0.038329868031533335
