,def
Cr_1,0.0007028944447751527
Cr_2,0.0009544624725468676
Cr_3,0.002745212456409057
Cr_4,0.0054069899408035905
Cr_5,0.007698467498110099
Cr_6,0.009984649924205708
Fe_1,-0.00892711830800208
Fe_2,-0.02709444631902428
Fe_3,-0.041986225115637515
Fe_4,-0.05538997480897457
Fe_5,-0.06485977878732496
Fe_6,-0.06826407953796479
Cd_1,-0.0005857530965471895
Cd_2,0.0010498719527171608
Cd_3,0.003868254516141585
Cd_4,0.005022021838321274
Cd_5,0.0030802900571194588
Cd_6,0.005598877926000003
Zn_1,0.0010058194227736343
Zn_2,-0.003410663342091115
Zn_3,-0.0010783232729939848
Zn_4,0.0041179653116029825
Zn_5,0.00812342144143511
Zn_6,0.015334952561599871
Cu_1,0.0022358220636791754
Cu_2,0.002297639059838781
Cu_3,0.0032630152235141705
Cu_4,0.0035461975199728327
Cu_5,0.0026968185492261304
Cu_6,0.006165373597383613
Pb_1,0.007078380334405438
Pb_2,0.01487863084125156
Pb_3,0.023778392719125453
Pb_4,0.036014263895408925
Pb_5,0.04630400403980783
Pb_6,0.0568501629478043
