,-0.08242779090534355,-0.06868982575445295,-0.05495186060356236,-0.04121389545267176,-0.027475930301781165,-0.013737965150890569,2.7755575615628914e-17,0.013737965150890624,0.02747593030178122,0.04121389545267182,0.054951860603562414,0.06868982575445301,0.0824277909053436,0.0961657560562342,0.1099037212071248,0.1236416863580154,0.137379651508906,0.1511176166597966,0.16485558181068719,0.17859354696157778
thresh,-0.08929677348078885,0.08929677348078885,2,,,,,,,,,,,,,,,,,
unreg,0,4,6,26,151,1106,3124,961,110,22,20,7,4,3,2,0,1,3,0,0
PsrA,0,0,0,0,0,2,1,0,0,1,2,0,4,2,1,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['PP_4817' 'PP_1689' 'PP_5007'],['glpF' 'PP_0370'],[],['PP_5008'],['bktB' 'PP_3756' 'hbd'],[],[]
PsrA_genes,[],[],[],[],[],['rpoS' 'PP_2253'],['algQ'],[],[],['etfA'],['etfB' 'psrA'],[],['PP_4203' 'fadH' 'yeiW' 'PP_3924'],['PP_3923' 'pcaF-II'],['PP_0368'],[],['fadB'],[],[],[]
