,PSPTOB0018
SRX1828913,0.0308589854
SRX1828914,-0.21777457860000002
SRX1828915,-0.0475546977
SRX1828916,-0.1017659426
SRX1828917,0.016695712300000002
SRX1828918,-0.5599248149
SRX3983989,1.0748811038
SRX3983990,0.2255692507
SRX3983993,1.6597267170999999
SRX3983994,1.3594631629
SRX3983995,0.595088693
SRX3983996,1.8027224955999999
SRX3983997,1.9781388842
SRX3983998,0.5835360656
SRX3983999,0.5927394066
SRX3984000,1.0139983229
SRX3984001,2.0873353779
SRX3984002,2.1230375529
SRX3984003,2.143783723
SRX3984004,0.4812864418
SRX3984005,1.2630074535
SRX3984006,2.2858745014
SRX3984007,1.0989024490000001
SRX3984008,0.8036053874
SRX3984009,0.45012196720000003
SRX3984010,3.0007981428
SRX3984011,0.6513532581
SRX3984012,0.5748427374
SRX3984013,0.4791353063
SRX3984014,0.45000901790000003
SRX3984015,1.7303098744
SRX3984016,0.48312477600000003
SRX3984017,3.0364657922
SRX3984019,0.2807100551
SRX3984020,2.5474367239999998
SRX3984021,2.7788268349000003
SRX3984022,2.9652941995
SRX3984023,0.1198453126
SRX3984024,0.7809310524
SRX3984025,1.0514117365
SRX3984026,0.9852185450000001
SRX3984027,0.9239428120000001
SRX3984028,0.8927837796
SRX3984029,1.0413462507
SRX3984031,2.6610466391000003
SRX3984032,2.6689919145000003
SRX3984034,-0.0205163726
SRX3984035,0.3458134681
SRX3984036,3.2576522824
SRX3984037,3.1560298074
SRX3984038,3.4979777489
SRX3984039,3.2497213915
SRX3984040,1.0150011025
SRX3984041,3.3092748326
SRX3984042,1.2504469598
SRX3984043,0.6791192863000001
SRX3984045,0.3591671094
SRX3984046,0.0213092137
SRX3984047,2.6051725495999998
SRX3984048,1.8893382652000001
SRX3984049,1.4491022691
SRX3984050,1.4795788331
SRX3984051,2.5642257138
SRX3984052,0.5511866816000001
SRX3984056,2.3139872233
SRX3984057,2.282721508
SRX3984058,2.5197830019
SRX3984059,0.2909018666
SRX3984061,0.48323786080000003
SRX3984062,0.47925517970000003
SRX3984063,0.41105934450000003
SRX3984064,0.5021609353
SRX3984065,0.7023315174
SRX3984066,0.3615990296
SRX3984067,0.4408224706
SRX3984068,0.5575622
SRX3984069,1.5475367364000001
SRX3984070,2.1102474536
SRX3984071,1.9370904184
SRX3984073,0.6483751549
SRX3984074,0.8218507977
SRX3984077,0.3661381774
SRX3984078,0.3284027026
SRX3984079,2.4515456706
SRX3984080,-0.1206381537
SRX3984082,0.5107747237
SRX3984084,2.5588937524
SRX6997963,0.204848725
SRX6997964,-0.0086749228
SRX6997965,0.008876900200000001
SRX6997967,-0.39579122980000003
SRX6997968,-0.3980066017
SRX6997969,0.1954775803
SRX6997971,0.1909425048
SRX6997972,0.5984265622
SRX6997973,0.4227276674
SRX3159100,0.0914339862
SRX3159101,-0.287124078
SRX3159102,0.07607608760000001
SRX3159103,0.1196140041
SRX3159000,0.32072971640000003
SRX3159001,-0.2642607583
SRX3159002,-0.664498973
SRX3159003,-0.1374498706
SRX3159004,-0.4280155306
SRX3159005,-0.3466698117
SRX3159006,0.2197428035
SRX3159007,-0.0301906797
SRX3159008,-0.1289519554
SRX3159009,0.2349474035
SRX3159010,-0.210440114
SRX3159012,0.1990034666
SRX3159013,0.31712821220000004
SRX3159014,0.1484361846
SRX3159015,0.2459123578
SRX3159016,-0.2881415149
SRX3159017,0.5762573641000001
SRX3159018,0.8350813419
SRX3159019,0.6938538114
SRX3159020,0.3587063057
SRX3159021,0.2140135058
SRX3159022,-0.0321080091
SRX3159023,-0.57213762
SRX3159024,0.2334698004
SRX3159025,0.016232819000000002
SRX3159026,-0.2748218021
SRX3159027,-0.16516180090000002
SRX3159028,0.15931628750000001
SRX3159029,-0.0837161066
SRX3159030,-0.0247879553
SRX3159034,-0.1817429365
SRX3159036,-0.0528631756
SRX3159037,-0.34922521230000003
SRX3159041,0.04182685
SRX3159042,-0.0428315758
SRX3159043,-0.2051274371
SRX3159045,-0.23481080010000002
SRX3159047,-0.2643462827
SRX3159048,0.23921138590000002
SRX3159049,0.0028456267
SRX3159050,-0.24689087010000002
SRX3159051,0.017261312600000002
SRX3159052,0.42914383640000003
SRX3159053,0.07652911450000001
SRX3159054,0.21653355370000002
SRX3159055,0.0855818465
SRX3159056,0.3741349512
SRX3159057,-0.041661806100000004
SRX3159058,0.1224758625
SRX3159060,0.23990797120000001
SRX3159061,0.4206075111
SRX3159062,0.1065556976
SRX3159063,0.0953084604
SRX3159066,0.1624754502
SRX3159069,0.22332121800000002
SRX3159070,-0.23393822050000002
SRX3159071,-0.34872375040000003
SRX3159073,0.2562655601
SRX3159074,-0.1470144545
SRX3159075,-0.2556888715
SRX3159076,0.2305619733
SRX3159080,-0.0254382337
SRX3159082,0.0386404331
SRX3159083,0.1608727842
SRX3159086,0.1975194549
SRX3159087,-0.21324111580000002
SRX3159088,-0.28779279950000003
SRX3159089,-0.9404811401000001
SRX3159090,-0.1312583577
SRX3159091,-0.0624850447
SRX3159092,0.2996568864
SRX3159093,0.42815574640000004
SRX3159094,-0.3337473367
SRX3159095,0.2703074501
SRX3159096,-0.1089649902
SRX3159097,-0.1002175757
SRX3159098,0.5601119817
SRX3159099,0.0291481278
SRX3158988,-0.2077097215
SRX3158989,-0.9716385299
SRX3158990,-0.3268215787
SRX3158991,-0.18340707950000001
SRX3158992,0.2460460285
SRX3158996,-0.038336307
SRX3644656,-0.3560583403
SRX3644657,-0.0068559503
SRX3644658,0.3629142906
SRX3644659,-0.28939297950000004
SRX3644660,0.3210367175
SRX3644661,0.5507110248
SRX3644662,-0.2619314957
SRX3644663,0.0114937175
SRX3644664,0.0962801259
SRX3644665,0.3287379589
SRX3644666,0.5489678044
SRX3644667,0.6775342316
SRX3644668,-0.1277744038
SRX3644669,-0.46740113990000004
SRX3644670,0.2243414765
SRX3644671,0.059532171700000004
SRX3644672,0.2935045133
SRX3644673,0.640314822
