,ugpB
Cr_1,0.00020998281501953376
Cr_2,0.00569692525718208
Cr_3,0.01772211003472679
Cr_4,0.03360471748646292
Cr_5,0.06298057634271342
Cr_6,0.10977686080496978
Fe_1,0.021806764457454025
Fe_2,0.2812166879330385
Fe_3,0.6642811933344268
Fe_4,0.9639131251396909
Fe_5,1.185916599430222
Fe_6,1.3932058155835016
Cd_1,0.0008033319045473293
Cd_2,0.003215924833391617
Cd_3,0.003668176780334553
Cd_4,0.0033770636151565533
Cd_5,-0.004615211178370448
Cd_6,-0.009908747412319832
Zn_1,0.009793743641429127
Zn_2,0.13928298402973693
Zn_3,0.23728498425504715
Zn_4,0.2480342549239091
Zn_5,0.20555552734766772
Zn_6,0.15625566288414053
Cu_1,0.013725034857932965
Cu_2,0.03408269401021854
Cu_3,0.06199044241302425
Cu_4,0.09056093132168357
Cu_5,0.1143187079415799
Cu_6,0.13356299784718292
Pb_1,0.008167120335780927
Pb_2,0.017544099313068315
Pb_3,0.030179325666410562
Pb_4,0.044290777221016236
Pb_5,0.05090166234644758
Pb_6,0.06284867535632419
