,srmB
Cr_1,0.0012957403469537482
Cr_2,0.011199322972454791
Cr_3,0.021566083917938374
Cr_4,0.03638330487956865
Cr_5,0.05021925999667128
Cr_6,0.06666049421066078
Fe_1,-0.003600602331036183
Fe_2,0.030448283689246517
Fe_3,0.09188543387524507
Fe_4,0.14347166165424574
Fe_5,0.19191107906001406
Fe_6,0.2302128629009796
Cd_1,0.00038053728844846
Cd_2,-0.002793089101839813
Cd_3,-0.0014552720901714869
Cd_4,0.001727466989989177
Cd_5,0.005360065588880659
Cd_6,0.016224809203147738
Zn_1,0.007793784725253856
Zn_2,0.040511278526907966
Zn_3,0.09565892370042954
Zn_4,0.12809605131799962
Zn_5,0.13366714290434015
Zn_6,0.12634663946961985
Cu_1,0.011614756410559387
Cu_2,0.0252666786827922
Cu_3,0.0413690850397154
Cu_4,0.06210508902357291
Cu_5,0.07788339325429533
Cu_6,0.0961703572787522
Pb_1,-0.0024012457828812782
Pb_2,0.0026444227205776783
Pb_3,0.012505425749238887
Pb_4,0.025892584335856842
Pb_5,0.036570850466819384
Pb_6,0.05071902768092989
