,-0.10195853546457369,-0.08996341364521208,-0.07796829182585048,-0.06597317000648888,-0.05397804818712727,-0.04198292636776567,-0.029987804548404065,-0.01799268272904246,-0.005997560909680857,0.005997560909680746,0.01799268272904235,0.029987804548403954,0.04198292636776556,0.05397804818712716,0.06597317000648877,0.07796829182585037,0.08996341364521197,0.10195853546457358,0.11395365728393518,0.12594877910329677
thresh,-0.05997560909680805,0.05997560909680805,1,,,,,,,,,,,,,,,,,
unreg,1,0,1,0,7,13,71,419,1916,1459,219,41,9,15,40,34,8,2,2,0
unreg_genes,['yfjJ'],[],['galR'],[],[],[],[],[],[],[],[],[],[],[],"['yicG' 'aldB' 'galM' 'nepI' 'cysE' 'yhjY' 'ghrB' 'yibG' 'cspA' 'yiaT'
 'yibS' 'gmk' 'yicN' 'waaA' 'bisC' 'adeQ' 'yicH' 'glyQ' 'tag' 'yicL' 'bax'
 'waaY' 'yibF' 'trmL' 'yiaU' 'kbl' 'recG' 'avtA' 'yiaF' 'wecH' 'waaH'
 'yibN' 'waaO' 'waaJ' 'insJ' 'yibL' 'glyS' 'ysaB' 'envC' 'dfp']","['waaB' 'waaS' 'grxC' 'waaZ' 'selB' 'rfaD' 'yiaD' 'yicC' 'dut' 'mutM'
 'htrL' 'tdh' 'ligB' 'gpsA' 'coaD' 'waaU' 'yibQ' 'waaF' 'waaC' 'waaP'
 'selA' 'yiaC' 'gltS' 'waaQ' 'waaG' 'yibJ' 'plaR' 'yiaG' 'secB' 'slmA'
 'rpoZ' 'yibT' 'trmH' 'spoT']",['nlpA' 'galP' 'yibV' 'gpmM' 'dinD' 'yicS' 'rph' 'yicR'],['galK' 'yiaW'],['galT' 'galE'],[]
