,yqcE
Cr_1,0.009220010613639546
Cr_2,0.012320817181558372
Cr_3,0.019864179323788474
Cr_4,0.02768771711707132
Cr_5,0.030095735337147614
Cr_6,0.031371048170605875
Fe_1,-0.008107442496351215
Fe_2,0.0035796207259586282
Fe_3,0.019720866075396918
Fe_4,0.040021987124284265
Fe_5,0.055673494559010064
Fe_6,0.06892948827549744
Cd_1,-0.0004611736577849122
Cd_2,0.00010844811656816331
Cd_3,0.0010554785664059192
Cd_4,0.003071653367557221
Cd_5,-0.00531592012349201
Cd_6,0.0005182482479967815
Zn_1,0.00031554911119379065
Zn_2,0.007700343607768145
Zn_3,0.02189870677224981
Zn_4,0.035824897359150364
Zn_5,0.041069701947958365
Zn_6,0.050044310068211285
Cu_1,-0.002232231596473554
Cu_2,-0.0008652433069495449
Cu_3,0.0017984915277476886
Cu_4,0.01195450940849083
Cu_5,0.023078461131641474
Cu_6,0.03440287284492987
Pb_1,-0.003208716322366823
Pb_2,-0.009823588450530428
Pb_3,-0.008739464154829412
Pb_4,-0.006740753386300393
Pb_5,-0.002807641267975308
Pb_6,0.0060038615929991065
