,A,YieP
R2,,0.02994814353176911
xmin,,-6.549693526
xmid,,0.015415495695369335
xmax,,3.563063854
ystart,,-0.9892636917170753
yend,,-2.716406695651558
control__wt_glc__1,-0.1307996972,0.107011616
control__wt_glc__2,0.1307996972,-0.107011616
fur__wt_dpd__1,-2.0047055779,-0.551443479
fur__wt_dpd__2,-2.3487244582,-0.6188794320000001
fur__wt_fe__1,0.6920285896,-0.12578091
fur__wt_fe__2,0.3755411181,-0.202425726
fur__delfur_dpd__1,-1.7714178121000002,-0.434029153
fur__delfur_dpd__2,-1.8147456304,-0.833844079
fur__delfur_fe2__1,-1.5400068233000002,-0.691296706
fur__delfur_fe2__2,-1.1229533409,-0.48687302800000004
acid__wt_ph5__1,-0.7811674347,-0.023085868000000002
acid__wt_ph5__2,-0.63696977,0.062052272000000006
acid__delgadx_ph5__2,-0.6802136870000001,-0.263189329
acid__delgadw_ph5__1,-0.4318564447,0.10591292000000001
acid__delgadw_ph5__2,-0.5830385276,0.045810532
acid__delgade_ph5__1,-0.4513279324,0.13330725200000001
acid__delgade_ph5__2,-0.7116192381,0.083632077
oxidative__wt_pq__1,-1.917706622,0.6011895730000001
oxidative__wt_pq__2,-2.0751064465,0.635252849
oxidative__deloxyr_pq__1,-1.4663655733,1.275208242
oxidative__deloxyr_pq__2,-1.2933390603000001,1.098702124
oxidative__delsoxr_pq__1,-2.0838497368,0.148814844
oxidative__delsoxr_pq__2,-2.0198436727,0.0045729360000000005
oxidative__delsoxs_pq__1,-2.3535814459,0.400380063
oxidative__delsoxs_pq__2,-2.0880595997,0.356562767
nac_ntrc__wt_csn__1,-1.7496521416,-0.274605382
nac_ntrc__wt_csn__2,-1.9024660872,-0.32083185200000003
nac_ntrc__wt_cytd__1,-0.0130668237,0.030938212000000003
nac_ntrc__wt_cytd__2,-0.7554642145,0.028014398000000003
nac_ntrc__wt_gln__1,-0.6310612294,-0.017722861
nac_ntrc__wt_gln__2,-0.7668528313,-0.07717744
nac_ntrc__bw_delnac_csn__1,-3.1091916831,-0.73236714
nac_ntrc__bw_delnac_csn__2,-3.4180581398,-0.9336521720000001
nac_ntrc__bw_delnac_cytd__1,-1.3548929742,-0.33399354800000003
nac_ntrc__bw_delnac_cytd__2,-0.8230236258,-0.37345796200000003
nac_ntrc__bw_delnac_gln__1,-0.4322616164,-0.18656742
nac_ntrc__bw_delnac_gln__2,-0.9706992123,-0.26909244
nac_ntrc__bw_delnac_nh4__1,0.8665573647,-0.041938115000000005
nac_ntrc__bw_delnac_nh4__2,0.33190467360000003,-0.16064587600000002
misc__wt_no_te__1,-0.5695000483,-0.419402223
misc__wt_no_te__2,-0.22485906630000002,-0.278712672
misc__bw_delcbl__1,0.6282884337,-0.461959367
misc__bw_delcbl__2,0.3020393081,-0.300429528
misc__bw_delfabr__1,0.9153949047000001,-0.298907904
misc__bw_delfabr__2,1.5680429958,-0.27233775400000004
misc__bw_delfadr__1,0.3088894915,-0.270832558
misc__bw_delfadr__2,0.7955455596000001,-0.164473631
misc__nitr_031__1,-0.5909287971,-0.031309056
omics__wt_glu__1,0.8891950048,-0.22062145200000002
omics__wt_glu__2,1.3891962857,0.01541736
omics__wt_gly__1,0.9607597725,-0.5173906060000001
omics__wt_gly__2,0.5981832294,-0.507564254
omics__wt_thr__1,-1.0855631146,0.8886018670000001
omics__wt_thr__2,-0.47825576500000005,1.000233687
omics__bw_ac__1,-1.2122853628999999,-0.324077938
omics__bw_ac__2,-1.9440540585,-0.579356973
omics__bw_fum__1,0.0038629706,-0.51500239
omics__bw_fum__2,-0.3781162336,-0.52814379
omics__bw_glc__1,0.6340612796,0.284598774
omics__bw_glc__2,0.237802381,0.192414519
omics__bw_pyr__1,-5.7349449919,-0.37420951500000005
omics__bw_pyr__2,-6.1079551736,-0.307857107
ompr__wt_nacl__1,-0.0176113566,-0.052010262
ompr__wt_nacl__2,-0.3721680499,-0.093695789
ompr__bw_delompr_nacl__1,0.8044136645000001,0.095136181
ompr__bw_delompr_nacl__2,0.7333040446,0.12785274500000002
minspan__wt_ade__1,0.8916263883000001,0.44750831
minspan__wt_glc__2,-0.1371552183,-0.159322882
minspan__wt_glc__3,-0.18972844400000002,-0.23483858700000002
minspan__wt_glc__4,-0.5029132289,-0.310421722
minspan__wt_glc_anaero__1,-2.7366809584,1.111524331
minspan__wt_glc_anaero__2,-2.5873089945,1.310614246
minspan__wt_trp__1,-2.6636401634,1.087888788
minspan__bw_delcra_glc__2,-2.5570907702,1.009658198
minspan__bw_delcra_trp__1,-3.7667531774,0.9945949190000001
minspan__bw_delmntr__1,-1.2294590781,1.279989899
minspan__bw_delnac_ade__1,-0.9564103623,0.5196080630000001
minspan__bw_delnac_glc__1,-1.0846480817,0.022223394
cra_crp__wt_ac__1,-0.8153141785,-0.7183635140000001
cra_crp__wt_ac__2,-0.3600120001,-0.9708666910000001
cra_crp__wt_fru__1,0.2825551263,-0.6479654850000001
cra_crp__wt_fru__2,0.1566701695,-0.497646652
cra_crp__delcra_ac__1,-0.7772776712,-0.7759432900000001
cra_crp__delcra_ac__2,-0.5234928846,-0.7258991020000001
cra_crp__delcra_fru__1,-1.7149864138000002,-0.322878745
cra_crp__delcra_fru__2,-1.6410781071,-0.38737902700000004
cra_crp__delcra_glc__1,0.2587457838,-0.117046225
cra_crp__delcra_glc__2,-0.0069447092,0.012687382
rpoB__wt_031__1,-1.8082079373000002,-0.272321097
rpoB__wt_044__1,-0.3477103716,0.16584425800000002
