,-0.37000793736666665,-0.3171496606,-0.26429138383333334,-0.21143310706666668,-0.15857483030000002,-0.10571655353333337,-0.05285827676666671,-5.551115123125783e-17,0.0528582767666666,0.10571655353333326,0.1585748302999999,0.21143310706666657,0.2642913838333332,0.3171496605999999,0.37000793736666654,0.4228662141333332,0.47572449089999985,0.5285827676666666,0.5814410444333331,0.6342993211999999
thresh,-0.07928741515,0.07928741515,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,2,21,4165,15,0,0,0,0,0,0,1,0,0,0,0
YieP,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],['cdd'],['cfa' 'dauA'],[],[],[],[],[],[],[],[],[],['yieP'],[],[],[],[]
YieP_genes,['yohJ' 'ykgE'],['yohK'],['ykgF'],['ykgG'],['adiY'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
