,cvpA
Cr_1,0.00495945436605939
Cr_2,0.011292883086825991
Cr_3,0.02161621093180428
Cr_4,0.03300112693634485
Cr_5,0.041739268115107316
Cr_6,0.04638691395922411
Fe_1,-0.008630388342255267
Fe_2,-0.03698121228639845
Fe_3,-0.07766972891709044
Fe_4,-0.12425329978915264
Fe_5,-0.166514074013473
Fe_6,-0.2013608170939808
Cd_1,0.00908804793911282
Cd_2,0.018619777109126896
Cd_3,0.027715861452034984
Cd_4,0.03595365830689426
Cd_5,0.0355842224227692
Cd_6,0.04342363277589534
Zn_1,0.009855918727079836
Zn_2,0.013036556529601616
Zn_3,0.018413631587761613
Zn_4,0.030025296674844614
Zn_5,0.03970546079865108
Zn_6,0.05859154145255385
Cu_1,-0.0007818586687798332
Cu_2,0.0038461293508373173
Cu_3,0.008159400822433254
Cu_4,0.01299685892599148
Cu_5,0.01726510052348995
Cu_6,0.02323102794593948
Pb_1,0.0001467697153910913
Pb_2,0.002467851368604512
Pb_3,0.002610552755389751
Pb_4,0.006899905011854227
Pb_5,0.019418897956906392
Pb_6,0.03142457661574695
