,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,1.8828333091328828,3.0,0.0,-2.1286240225,1.0,0.6811917976,2.0,1.4474322249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-6.3901803907,1.488991554625908,3.0,3.0,-7.1059778259,4.0,-7.386099007,5.0,-4.6784643392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-8.7250533381,0.3599147219315729,3.0,6.0,-8.3107075456,7.0,-8.9043554568,8.0,-8.9600970119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-3.172065784643304e-17,2.2670544406086006,21.0,9.0,-1.3295004272,10.0,1.8303822191,11.0,-0.059573998700000005,12.0,-0.1227891408,13.0,2.2405137719,14.0,-0.7568038261000001,15.0,-2.7887503462,16.0,-3.7068686018,17.0,-3.9900546063,18.0,0.701875365,19.0,-0.8371130073,20.0,4.0050075516,21.0,1.5598196033,22.0,-2.1149176958,23.0,-0.9011411871,24.0,0.2800865501,25.0,-1.5920313294000001,26.0,-0.5462141984000001,27.0,4.4764207857,28.0,1.6606044674,29.0,1.991048051
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-1.6948831858333335,2.9267650290642035,21.0,30.0,-1.3691675312,31.0,-2.1084939248,32.0,-1.5844088894000001,33.0,-2.5317289968,34.0,0.186827442,35.0,-1.522027057,36.0,-1.9573475936,37.0,-4.6025858399,38.0,-6.084420715,39.0,-1.8355312789,40.0,-1.7348019617000001,41.0,-2.6493660418,42.0,-2.9253797695,43.0,-2.1382844586,44.0,-2.3590067563,45.0,-3.77734573,46.0,-5.4374566723,47.0,-4.2840801997,48.0,4.6634003359000005,49.0,4.5572082752,50.0,3.9014504609
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-3.700743415417188e-17,0.5024463428306668,3.0,51.0,-0.34233764180000004,52.0,-0.234486244,53.0,0.5768238858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,2.010216077375,1.3800778530416744,4.0,54.0,0.1850592725,55.0,3.0164619653,56.0,3.1389798658,57.0,1.7003632059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.7755575615628914e-17,0.6493318493832299,4.0,58.0,-0.4264983583,59.0,0.0791148423,60.0,0.886572495,61.0,-0.5391889790000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,3.3819615285249998,1.3106760265654598,4.0,62.0,3.2140330814,63.0,4.9857294765999995,64.0,3.5365455915,65.0,1.7915379646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,4.1968964264,0.8059704860734187,4.0,66.0,3.3262048218,67.0,5.037842121,68.0,4.7032107981,69.0,3.7203279647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-2.8053640559999997,0.28980672163455434,4.0,70.0,-2.6094708252,71.0,-2.8613269139,72.0,-3.1920843164,73.0,-2.5585741685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-1.850371707708594e-17,1.1994010175650336,6.0,74.0,0.3893597243,75.0,-1.598849887,76.0,-0.5902556076000001,86.0,1.6711167592,88.0,0.8815006631000001,90.0,-0.7528716520000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-4.006679341166667,1.6596756202767233,6.0,77.0,-2.82122431,78.0,-3.0835231724,79.0,-1.8762829403999999,87.0,-4.6395456041,89.0,-5.617579936,91.0,-6.0019200841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
