,A,GcvA
R2,,0.2406990504221984
xmin,,-3.6794065693
xmid,,-0.863912957541751
xmax,,1.978934505
ystart,,1.9659574123975698
yend,,-6.041876633371774
SRX1125282,0.0063240462,0.1650498003
SRX1125283,0.253556335,0.2147431834
SRX1125284,0.8439051988,-0.0181476735
SRX1125285,1.5144758044,-0.1198739043
SRX1125286,2.9289149928000002,-0.43300079960000004
SRX1125287,2.4366791011,-0.27073438920000004
SRX1125288,-0.0793311411,0.1942931729
SRX1125289,0.0689422869,0.2085721046
SRX1125290,0.7209357659000001,-0.1755301277
SRX1125291,1.6815486582,-0.0019188907000000002
SRX1125292,3.4114922429,-0.1886575121
SRX1125293,3.6510794854,0.0884390588
SRX1125294,0.0730070949,-0.3593429732
SRX1125295,0.0599879937,0.38231571400000003
SRX1125296,0.2797205239,-0.002317094
SRX1125297,0.5207603225,-0.0569114196
SRX1125298,2.7436789101,-0.1897221764
SRX1125299,3.3042896449,-0.0752966102
SRX5694250,0.10725984790000001,-0.5691021519
SRX5694251,-5.9650372076,1.2060945703
SRX5694252,0.5481641821000001,-1.6445428173
SRX5694253,0.23236083870000002,-0.0291097332
SRX5694254,-2.1043288731,-0.12215700630000001
SRX5694255,-10.291117797,-0.1930619515
SRX5694256,1.3260897091000001,-0.349118335
SRX5694257,-3.3474993199,-0.1709207421
SRX5694258,0.6752839886,-0.3318733148
SRX5694259,-8.5975153813,1.9553240799
SRX5694260,2.4562861461,-0.23786434450000002
SRX5694261,-0.8867751999,-0.0938362196
SRX5694262,-1.7280522614,-0.4247516456
SRX5694263,2.9125683646000002,-0.136141432
SRX5694264,0.25765597700000004,-0.6930459932
SRX5694265,1.1226604739,0.0825079745
SRX5694267,0.1533647306,0.019504032600000002
SRX5694268,3.2618526092,-0.9905897589
SRX5694269,2.0419390471,0.0354777814
SRX5694271,0.5772431402,-0.4818241425
SRX5694273,-3.8172779667,0.1175396652
SRX5694274,2.6622753654,-0.5629332779
SRX5694275,2.106036647,-1.4762045477
SRX5694276,-4.4767552492,0.6235924034
SRX5694277,3.0911219488,-0.39412959070000003
SRX5694278,-0.9091927984,-0.2235732078
SRX5694279,1.0456276186,-0.0699140323
SRX5694280,2.4339111722,-0.2936502167
SRX5694281,1.8849122317,-0.6949869032
SRX5694282,-7.5830297205,0.35760445750000003
SRX5694283,2.7133101963,-0.3738763838
SRX5694284,2.0271662481,0.2642129485
SRX5694285,0.8402598148,-0.6321181956
SRX5694286,1.3951342985,-0.8181962111000001
SRX5694287,0.5995202794,0.2544921732
SRX5694288,-0.206200831,-0.2735879986
SRX5694289,0.5338516665,-0.218756829
SRX5694290,-0.0361241085,-0.5202994945
SRX5694291,-9.1945907738,-0.18682062870000002
SRX5694292,2.491019753,-0.2814925996
SRX5694293,0.3541731899,-0.5119159687
SRX5694294,0.13975578630000002,-0.4597655162
SRX5694295,-3.4690971786,1.2550973747
SRX5694296,0.3207507491,0.5716871121
SRX5694297,-6.2334893738,1.3254552521
SRX5694298,-1.3158522575,-0.5699545235
SRX5694299,0.2785051743,-0.1556030032
SRX5694300,0.7503716034,-0.5067759672000001
SRX5694301,2.6080124902,-0.3319531805
SRX5694302,2.2812935751,-0.4111281624
SRX5694303,0.8727835191000001,-0.5956426386
SRX5694304,0.8899781877,-0.081464753
SRX5694305,-6.4262704483,0.6714941653000001
SRX5694306,0.3423094501,-0.09704643610000001
SRX5694307,-6.8903088929,0.8895995157000001
SRX5694308,1.398544226,-0.2813316486
SRX5694309,-6.305038287,0.8804599411
SRX5694310,-0.6323118481000001,-1.1393734264
SRX5694311,-7.9792164724,1.441782481
SRX5694312,-1.863497442,0.2077109762
SRX5694313,-2.8656126076,1.1577090744
SRX5694315,2.975379788,-0.8650438354000001
SRX5694317,-0.3751469428,0.3376023908
SRX5694319,0.034764933500000005,-0.2117347545
SRX5694320,-9.0504866457,0.0922072632
SRX5694321,-1.1360501916,0.034076099900000004
SRX5694322,-8.7856778668,0.9357612991
SRX5694323,-1.1312982061,0.0555954343
SRX5694324,-6.3401219079,0.8237801311
SRX5694325,-1.602607119,-0.10404302480000001
SRX5694326,0.5248261204,-0.2907769572
SRX5694327,0.2501180711,-0.6532800822
