,gltX
Cr_1,-0.0010101104018753462
Cr_2,0.0003506318208338169
Cr_3,-0.000636366321508965
Cr_4,0.00024406863683844668
Cr_5,-0.0008499399520082874
Cr_6,-0.002750182775970481
Fe_1,-0.007009205782477433
Fe_2,-0.022273328828508326
Fe_3,-0.032937381516124034
Fe_4,-0.04719461076989913
Fe_5,-0.0653420919368156
Fe_6,-0.08421394621863147
Cd_1,0.0001521669986816624
Cd_2,0.0019004405996736614
Cd_3,0.006317919707786625
Cd_4,0.008143541952863546
Cd_5,0.004846400203667206
Cd_6,0.008615120414845823
Zn_1,0.0034425781156812037
Zn_2,0.0014164334251184187
Zn_3,-0.0030090312042619317
Zn_4,-0.003882934051070582
Zn_5,-0.003768769338310676
Zn_6,-0.0010468940871361926
Cu_1,0.004071896466316446
Cu_2,0.0104193971414996
Cu_3,0.016801828576989312
Cu_4,0.020806507277058114
Cu_5,0.027837593118064212
Cu_6,0.037690185897469176
Pb_1,0.0013760653165375998
Pb_2,0.0019056153975943405
Pb_3,0.003822154681366201
Pb_4,0.005866556266343211
Pb_5,0.00819611222537508
Pb_6,0.0136147097467487
