,yahK
Cr_1,-0.0020737826220272935
Cr_2,0.006325703725039526
Cr_3,0.030605895453673745
Cr_4,0.05028419905086113
Cr_5,0.07186653658488541
Cr_6,0.08974519095552001
Fe_1,-0.014242183013587218
Fe_2,-0.03132949398712299
Fe_3,-0.050224435417716734
Fe_4,-0.08655633104225514
Fe_5,-0.13382765501560168
Fe_6,-0.18280227211677927
Cd_1,-0.00046334609996833066
Cd_2,-0.008401400129570429
Cd_3,-0.005156523915697875
Cd_4,0.005211332337535115
Cd_5,0.003130749122370118
Cd_6,0.003406859087386568
Zn_1,-0.07062345935674914
Zn_2,-0.12299179591964032
Zn_3,-0.018372089462499176
Zn_4,-0.11466387996482362
Zn_5,-0.03212401495083606
Zn_6,-0.048594911109228985
Cu_1,0.003307973448605179
Cu_2,0.011600446604480605
Cu_3,0.024410699738832545
Cu_4,0.03435942826778178
Cu_5,0.04369885464526903
Cu_6,0.05207112814179809
Pb_1,0.0029479723485878045
Pb_2,0.01064468310998784
Pb_3,0.0228517310944202
Pb_4,0.03836034885919904
Pb_5,0.0512520685624323
Pb_6,0.05769916085758396
