,-0.17716496205863616,-0.1476374683821968,-0.11810997470575743,-0.08858248102931807,-0.0590549873528787,-0.029527493676439337,2.7755575615628914e-17,0.029527493676439392,0.05905498735287876,0.08858248102931812,0.11810997470575749,0.14763746838219685,0.17716496205863622,0.20669245573507558,0.23621994941151495,0.2657474430879543,0.29527493676439365,0.324802430440833,0.3543299241172724,0.38385741779371174
thresh,-0.19192870889685584,0.19192870889685584,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,6,206,1915,151,10,2,0,0,0,0,0,0,1,4,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['apc3_2'],['apc4_2' 'Saci_2037' 'huyA' 'Saci_2038'],['codB'],[]
