,yedY
Cr_1,0.00196221097737745
Cr_2,0.004147331072447625
Cr_3,0.010529238188871843
Cr_4,0.02039486404190174
Cr_5,0.02841660288869095
Cr_6,0.03145875423166408
Fe_1,-0.011414599833301509
Fe_2,-0.032844235968710465
Fe_3,-0.06218556401008341
Fe_4,-0.10352362238540626
Fe_5,-0.1438742886350347
Fe_6,-0.17671242540157103
Cd_1,-0.002756109328287307
Cd_2,0.004065289678913236
Cd_3,0.011354437505824416
Cd_4,0.013697074201049687
Cd_5,0.008067899834047088
Cd_6,0.012583162859205728
Zn_1,2.2228656111206013
Zn_2,3.1789999544818213
Zn_3,3.5899010534821096
Zn_4,3.778054607125141
Zn_5,3.840772786335272
Zn_6,3.8315961155670633
Cu_1,0.0060051155218093935
Cu_2,0.006804233655596108
Cu_3,0.008218744039921127
Cu_4,0.013556243148584968
Cu_5,0.022895014206240325
Cu_6,0.03177355974368369
Pb_1,0.01117057315189834
Pb_2,0.016466746558942813
Pb_3,0.031700044253746715
Pb_4,0.040480299212251526
Pb_5,0.05415600707900834
Pb_6,0.0673633032459888
