,-0.1925479874285714,-0.16847948899999998,-0.14441099057142856,-0.12034249214285714,-0.09627399371428572,-0.0722054952857143,-0.04813699685714287,-0.02406849842857145,-2.7755575615628914e-17,0.024068498428571394,0.048136996857142816,0.07220549528571427,0.09627399371428566,0.12034249214285705,0.1444109905714285,0.16847948899999995,0.19254798742857135,0.21661648585714274,0.2406849842857142,0.26475348271428567
thresh,-0.08423974449999999,0.08423974449999999,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,0,13,34,432,1889,377,49,11,8,1,2,1,1,0,0,0
unreg_genes,['USA300HOU_RS15510'],[],[],['USA300HOU_RS13445'],[],[],[],[],[],[],[],[],"['manP' 'USA300HOU_RS06915' 'pmI' 'USA300HOU_RS10800' 'USA300HOU_RS14925'
 'USA300HOU_RS03865' 'USA300HOU_RS15540' 'USA300HOU_RS12445']",['LAC_H_02703'],['USA300HOU_RS15135' 'USA300HOU_RS14135'],['LAC_H_02499'],['LAC_H_02500'],[],[],[]
