,fiu
Cr_1,-0.009161575572203241
Cr_2,-0.014292896211434947
Cr_3,-0.012870799973463971
Cr_4,-0.010962828828721892
Cr_5,-0.00569459018169728
Cr_6,0.001224462385127158
Fe_1,-0.03697440912634768
Fe_2,-0.08062691269450127
Fe_3,-0.12358436616110167
Fe_4,-0.16815006995110632
Fe_5,-0.2061862280828649
Fe_6,-0.2529885190636006
Cd_1,0.006720150565977039
Cd_2,0.006920301853806618
Cd_3,0.0073885883970694986
Cd_4,0.0056738474010802325
Cd_5,0.00141001651651234
Cd_6,0.005843966508322672
Zn_1,-0.009156111830316109
Zn_2,-0.0031293626597902863
Zn_3,-0.022633336647217436
Zn_4,-0.009387514446898386
Zn_5,-0.002876195992357415
Zn_6,0.007956741854168359
Cu_1,0.010432925955017415
Cu_2,0.02541671068046614
Cu_3,0.04337279557372733
Cu_4,0.05849376147563705
Cu_5,0.07530911401970572
Cu_6,0.09149973043627976
Pb_1,0.002296846602808038
Pb_2,0.014102191103695538
Pb_3,0.01717988859679467
Pb_4,0.02441147966891116
Pb_5,0.04278918717725621
Pb_6,0.058662153022541165
