,yafN
Cr_1,-0.011204083934240577
Cr_2,-0.0097955737831417
Cr_3,-0.014317888403733303
Cr_4,-0.013403993811782523
Cr_5,-0.010116578663870696
Cr_6,-0.012803322786750164
Fe_1,-0.03355380623937345
Fe_2,-0.07977453604884124
Fe_3,-0.12855306937071204
Fe_4,-0.16012300904241827
Fe_5,-0.18301817077274135
Fe_6,-0.1829996868363051
Cd_1,0.010901757533203712
Cd_2,0.02268780696139604
Cd_3,0.03462231728343465
Cd_4,0.05058491550701575
Cd_5,0.06116273913952758
Cd_6,0.07639259258817176
Zn_1,-0.0025880261527414265
Zn_2,0.01418775426917994
Zn_3,0.041526534756072236
Zn_4,0.05027340625629944
Zn_5,0.03708318769986423
Zn_6,0.03388063502104187
Cu_1,0.003562527329905919
Cu_2,0.010159064205337784
Cu_3,0.012768407161191913
Cu_4,0.02427588422668297
Cu_5,0.03555420910661795
Cu_6,0.04056592139954138
Pb_1,0.01970910267290649
Pb_2,0.022917861595021585
Pb_3,0.02085379624116645
Pb_4,0.03308216556090472
Pb_5,0.053810286348506715
Pb_6,0.060087517675493536
