,chaB
Cr_1,-0.005050844643309504
Cr_2,0.005023127127543597
Cr_3,0.01014705233877476
Cr_4,0.022101300298501853
Cr_5,0.023270957163732196
Cr_6,0.0243673678006534
Fe_1,-0.011917580532770398
Fe_2,-0.02802567803803947
Fe_3,-0.04661690610070924
Fe_4,-0.060029225178846464
Fe_5,-0.07528376893518395
Fe_6,-0.08532957193900068
Cd_1,0.0005029182014779968
Cd_2,0.0022882584406230234
Cd_3,0.00364875917042344
Cd_4,0.004152901252141982
Cd_5,0.008125009070678977
Cd_6,0.008555443286850744
Zn_1,-0.00017741632069619989
Zn_2,0.0019331694627650398
Zn_3,0.002277020352974085
Zn_4,0.0026277437155615
Zn_5,0.012242910663981126
Zn_6,0.02346455407285229
Cu_1,-0.0003279769883004908
Cu_2,-0.0005824086785212957
Cu_3,0.0011643926421244322
Cu_4,0.0011660347056550778
Cu_5,0.0013662791956619345
Cu_6,0.008599069537685237
Pb_1,-0.0016916692631868664
Pb_2,0.001956381546707574
Pb_3,0.006147232370105536
Pb_4,0.014565573749363937
Pb_5,0.013915027996111
Pb_6,0.01489781171855851
