,ycgR
Cr_1,-0.00421851947580721
Cr_2,0.0007302752244424439
Cr_3,0.008524269505197747
Cr_4,0.003647083816280498
Cr_5,0.004328759828617702
Cr_6,0.002670686907620164
Fe_1,-0.03666147787407782
Fe_2,-0.048463410057458696
Fe_3,-0.07517011260228375
Fe_4,-0.09111153869253194
Fe_5,-0.09922935846456354
Fe_6,-0.11327179073494273
Cd_1,0.0017210165461524578
Cd_2,0.003117400288767705
Cd_3,0.01007715956377287
Cd_4,0.015572357076246404
Cd_5,0.01381427624815692
Cd_6,0.014949238778809418
Zn_1,-0.014196161015286838
Zn_2,-0.011359938105225826
Zn_3,-0.010428832216008786
Zn_4,0.005647106424443724
Zn_5,0.02559479260093609
Zn_6,0.04963443503936845
Cu_1,0.0024927814221179477
Cu_2,0.011341736004391348
Cu_3,0.022110639213928317
Cu_4,0.04075349270769025
Cu_5,0.05284859856912046
Cu_6,0.0648747741977857
Pb_1,0.0013267686302543922
Pb_2,0.005939116218730967
Pb_3,0.012068420641435752
Pb_4,0.016634251608639645
Pb_5,0.014838651848786404
Pb_6,0.015105587421408738
