,yqjG
Cr_1,0.002040767889344413
Cr_2,0.008101285111324139
Cr_3,0.0156052828884463
Cr_4,0.024312464042503628
Cr_5,0.02759557641503061
Cr_6,0.02602214974058371
Fe_1,0.004460960803912533
Fe_2,-0.021933645237022046
Fe_3,-0.07489868956933983
Fe_4,-0.14795136635922154
Fe_5,-0.21773068725549607
Fe_6,-0.2762351571283925
Cd_1,0.008135211745123811
Cd_2,0.013997268289516685
Cd_3,0.013255280497335872
Cd_4,0.04039938611106714
Cd_5,0.05183635552017053
Cd_6,0.04546031759299258
Zn_1,-0.0049062602310008885
Zn_2,-0.017517383352739422
Zn_3,-0.006583489068772788
Zn_4,0.011184639694844588
Zn_5,0.029087381114502462
Zn_6,0.061061461381462075
Cu_1,0.0032536416030449645
Cu_2,0.009670758682739356
Cu_3,0.01585108508523709
Cu_4,0.02612187849290846
Cu_5,0.03470445518950186
Cu_6,0.04592515244594569
Pb_1,0.0005166655438435083
Pb_2,-0.00340013045658347
Pb_3,0.005632120446165323
Pb_4,0.011110145602873055
Pb_5,0.0015524731214814865
Pb_6,0.004474286696314901
