,A,CymR,NsrR,SigA,ResD
R2,,0.10269913036624778,0.03328351448997369,0.026173416668357485,0.013175826388100664
xmin,,-4.0686,-3.515533333333334,-2.8581666666666656,-2.7869333333333355
xmid,,,,,
xmax,,1.6015000000000015,2.539766666666667,1.328733333333334,3.048566666666666
ystart,,11.387957160363621,7.40604343076291,7.266710996744331,5.536693550815158
yend,,-1.2577433398957525,-0.6620332422442612,1.2897920766204265,1.32185819508596
LBexp_1,0.1008305115,0.559000000000001,-0.8209333333333326,0.4313333333333347,1.0316666666666645
LBexp_2,-2.6841298747,0.09030000000000094,-0.7063333333333333,0.20703333333333518,1.1417666666666655
LBexp_3,-0.41321105960000004,-0.053999999999998494,-1.2032333333333334,0.04503333333333437,0.9888666666666648
LBtran_1,2.266679605,-1.641,-0.2153333333333336,0.09453333333333447,0.9462666666666646
LBtran_2,1.3657148659,-1.3497999999999983,-0.328733333333334,0.2031333333333336,1.7396666666666647
LBtran_3,1.9611245878,-1.6015999999999995,-0.8065333333333342,0.1898333333333344,2.3140666666666654
LBstat_1,0.2334755141,-0.8265999999999991,-0.545633333333333,0.25443333333333484,2.809266666666666
LBstat_2,1.8452100306,-1.4647999999999985,-1.172433333333334,0.3378333333333341,2.733766666666666
LBstat_3,3.4792438507,-2.0683999999999987,-1.8662333333333336,0.27213333333333445,2.578966666666666
LBGexp_1,1.6355368568,0.3371000000000013,-0.8516333333333339,0.6050333333333349,1.0475666666666648
LBGexp_2,-0.0394067454,0.6339000000000006,-0.7614333333333327,0.4716333333333349,-0.14523333333333532
LBGexp_3,0.7276326114,0.3717000000000006,-1.1879333333333335,0.7866333333333344,0.5199666666666651
LBGtran_2,5.4719075835,0.05630000000000024,-1.493833333333333,0.12973333333333414,1.0902666666666647
LBGtran_3,3.1807793331,0.7874000000000017,-0.22453333333333347,0.4393333333333338,1.332566666666665
LBGstat_1,5.1268243787,0.3869000000000007,-2.082933333333333,0.4042333333333339,0.5052666666666656
LBGstat_2,5.8831816685,-0.627699999999999,-2.6422333333333334,-0.2733666666666661,-0.050533333333333985
LBGstat_3,7.0391246581,-0.2712999999999983,-1.6048333333333336,-0.5597666666666647,1.0350666666666655
S0_1,-0.6271684980000001,-1.3935999999999993,-0.4792333333333332,0.30593333333333383,2.175466666666665
S0_2,0.7499689997,-1.2468999999999983,-0.9644333333333339,0.042033333333334255,2.2005666666666652
S0_3,1.7892125803,-1.2361999999999984,-0.8696333333333328,0.2446333333333346,2.8330666666666655
S1_1,16.9346031239,-0.8259999999999987,0.10586666666666567,0.641233333333334,0.34516666666666573
S1_2,9.4917249347,-0.6534999999999993,0.06296666666666617,0.7176333333333336,0.4381666666666657
S1_3,20.0562575778,-0.6039999999999992,0.060566666666666436,0.5724333333333345,0.759666666666666
S2_1,3.0818162737,-0.9662999999999986,-0.25453333333333283,-1.3588666666666658,2.2370666666666654
S2_2,1.8494266566,-1.4192999999999998,-0.5326333333333331,-1.2832666666666661,2.0128666666666657
S2_3,0.9687554176000001,-1.8100999999999985,-0.572633333333334,-1.569166666666666,2.3261666666666656
S3_1,-0.15501452200000002,-0.4626999999999999,-0.03373333333333406,0.2958333333333343,1.4219666666666662
S3_2,5.6108058373,-0.37509999999999977,-0.04243333333333332,-0.5800666666666654,0.4108666666666654
S4_1,2.7431265263,-0.24959999999999916,0.45926666666666627,-0.17416666666666636,0.5186666666666646
