,Value,list
TF,[SigA + CymR] / [ResD + SigA + NsrR],
reg_genes,59,"['S1115' 'yxeO' 'cysP' 'S1033' 'sat' 'fnr' 'S570' 'mtnN' 'sirB' 'ygaN'
 'mccA' 'yrhC' 'sndB' 'S310' 'yrrT' 'yxeN' 'snaB' 'S1032' 'S477' 'ylnD'
 'yxeK' 'yxeQ' 'S569' 'cysC' 'S466' 'ascR' 'ykuO' 'mccB' 'ykoP' 'cysH'
 'BSU_misc_RNA_29' 'nasB' 'yxeM' 'cysK' 'nasE' 'nasC' 'ykuN' 'ykuP' 'ylnF']"
comp_genes,22,['S144' 'ykjA']
both_genes,20,"['cmoJ' 'hmp' 'ssuC' 'cmoO' 'sndA' 'ssuB' 'tcyL' 'tcyM' 'nasF' 'tcyJ'
 'nasD' 'tcyK' 'S467' 'ssuA' 'ssuD' 'cmoI' 'ytnM' 'snaA' 'tcyN' 'ribR']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,14,
comp_ops,6,
both_ops,5,
