,A,AdeR
R2,,0.04586218296673472
xmin,,-5.3038819206
xmid,,
xmax,,1.1960007642
ystart,,-6.939349909138562
yend,,-0.12690550059832995
AB0057_PGcoculture__PGAB__1.0,-2.5006813397,-0.42057224330000004
AB0057_PGcoculture__PGAB__2.0,-1.518050298,-0.5598229535
AB0057_PGcoculture__PGAB__3.0,-0.7431368723,-1.0159416766
AB0057_PGcoculture__AB __1.0,0.021366178200000002,0.09555303920000001
AB0057_PGcoculture__AB __2.0,-0.20482708730000002,0.0155616582
AB0057_PGcoculture__AB __3.0,0.1543632486,-0.0194705356
AB0057_PGcoculture__AB __4.0,0.029097660600000002,-0.0916441619
AB0057_PGcoculture__ABPG__1.0,-0.7125281673,-0.9117818814
AB0057_PGcoculture__ABPG__2.0,-0.8825451237,-0.8964718189
AB0057_PGcoculture__ABPG__3.0,-0.2508349255,-0.36937193630000004
AB0057_PGcoculture__ABPG__4.0,-0.7327096338,-0.8777315022000001
AB5075_AZI__AZI_000__1.0,0.1859338646,-0.0663889159
AB5075_AZI__preculture__1.0,-2.1408405199000002,-0.2945878368
AB5075_AZI__preculture__2.0,-2.0136879409,-0.46627693400000003
AB5075_AZI__AZI_040__1.0,2.9275859255,-0.48274922680000004
AB5075_AZI__AZI_028__1.0,1.262703651,0.3535031447
AB5075_AZI__AZI_003__1.0,-0.4300712195,0.2083516978
AB5075_AZI__AZI_000__2.0,-0.1859338646,0.0663889159
AB5075_AZI__AZI_040__2.0,2.8566297586,-0.3071675397
AB5075_AZI__AZI_028__2.0,1.2350467137,0.2003822735
AB5075_AZI__AZI_003__2.0,-0.15346123750000001,-0.1641333888
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-1.2891411261,-0.35742161240000003
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,0.904462614,-0.3218855802
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-0.5706635286,0.16574654260000002
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,-0.33379908540000003,0.1561390377
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,-3.6984973283,-0.8565479838000001
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-4.8990934013,-0.1946710231
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,-4.0946149731,-0.5841723619
AB5075_VIR-O_AV-T__AV-T/vector__2.0,0.37611735700000004,-1.0156999437
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-1.6845879460000002,-0.4013958562
AB5075_VIR-O_LSO__VIR-O__1.0,-0.08517852170000001,0.1678261184
AB5075_VIR-O_LSO__LSO__1.0,-0.9580438362,0.2808174586
AB5075_VIR-O_LSO__VIR-O__2.0,0.7164566221,-0.1403100603
AB5075_VIR-O_LSO__LSO__2.0,-2.0586258823,0.2813531474
AB5075_VIR-O_LSO__VIR-O__3.0,-0.6312781004,-0.0275160581
AB5075_VIR-O_LSO__LSO__3.0,0.5724094855,0.45022215860000003
AB5075_Zinc__Control__1.0,1.0041745897,0.4838262895
AB5075_Zinc__Control__2.0,-0.7542895921,-0.6469618428
AB5075_Zinc__Control__3.0,-0.24988499760000002,0.1631355533
AB5075_Zinc__Zinc__1.0,-2.5428026214,0.2093097818
AB5075_Zinc__Zinc__2.0,-5.223740837,0.0052908194000000006
AB5075_biofilm+abx__planktonic__1.0,-1.7932732129,1.1960007642
AB5075_biofilm+abx__planktonic__2.0,0.0468269423,-0.4307777427
AB5075_biofilm+abx__biofilm__1.0,-2.603753006,0.2665115409
AB5075_biofilm+abx__planktonic__3.0,1.7464462706,-0.7652230215
AB5075_biofilm+abx__biofilm__2.0,-1.7670161884,0.5494032202
AB5075_biofilm+abx__biofilm__3.0,-1.1616809926,0.9537307772
AB5075_biofilm+abx__cip_biofilm__1.0,1.5173957176,1.0636150902
AB5075_biofilm+abx__cip_biofilm__2.0,-1.3535041834000001,0.599258354
AB5075_biofilm+abx__tet_biofilm__1.0,-1.4010421642,0.8061026936
AB5075_biofilm+abx__cip_biofilm__3.0,-1.7133653143,0.8178513307
AB5075_biofilm+abx__tet_biofilm__2.0,-0.5602187083,0.0221749943
AB5075_biofilm+abx__tet_biofilm__3.0,-0.026486649100000002,0.0851720249
AB5075_gigAB__kan_gigB__1.0,-4.8997276187,-5.3038819206
AB5075_gigAB__kan_gigB__2.0,-4.3593166697,-5.0652911788
AB5075_gigAB__kan_gigB__3.0,-6.199730472,-4.3637679651
AB5075_gigAB__gigB__1.0,-9.4928218311,-4.6154574022
AB5075_gigAB__gigB__2.0,-10.062937967,-4.6361676935
AB5075_gigAB__gigB__3.0,-9.7458751409,-4.6475023773
AB5075_gigAB__kan_gigA__1.0,-4.9603716526,-3.6855706979000002
AB5075_gigAB__kan_gigA__2.0,-5.1459724536,-3.9495585342
AB5075_gigAB__kan_gigA__3.0,-4.9902530652,-5.2375614374
AB5075_gigAB__gigA__1.0,-9.1292664936,-4.8260037623
AB5075_gigAB__gigA__2.0,-8.0891090023,-4.5959356972
AB5075_gigAB__gigA__3.0,-8.8931398752,-4.9308622658
AB5075_gigAB__kan_WT__1.0,2.6668225728,0.24972779380000001
AB5075_gigAB__kan_WT__2.0,2.4214447666,-0.0971578626
AB5075_gigAB__kan_WT__3.0,2.3096533178,0.32407035910000004
AB5075_gigAB__WT__1.0,0.2246733227,0.787688287
AB5075_gigAB__WT__2.0,0.5080028856000001,-0.33688095
AB5075_gigAB__WT__3.0,-0.7326762083,-0.45080733710000004
AB5075_med__CA-MHB__1.0,-1.1896755369,-0.5021908075
AB5075_med__CA-MHB__2.0,-2.4849622407,-0.5488043867
AB5075_med__CA-MHB_pH6__1.0,-0.5255361270000001,-0.4980192627
AB5075_med__CA-MHB_pH6__2.0,-2.9471935254,-0.6898770714
AB5075_med__RPMI+_pH7__1.0,-2.7900770428,-0.36617772470000004
AB5075_med__RPMI+_pH7__2.0,-4.0094799273,-0.5786342588
AB5075_med__RPMI+_pH6__1.0,-4.2787050001,-0.5485188729
