,metB
Cr_1,0.02376760624742808
Cr_2,0.05363707157930138
Cr_3,0.0793635342782769
Cr_4,0.10575640305751098
Cr_5,0.131357457376801
Cr_6,0.1503182527745796
Fe_1,0.0038635026524911882
Fe_2,0.0009342253216867246
Fe_3,-0.008651386415977305
Fe_4,-0.019063564423248452
Fe_5,-0.01393002017843958
Fe_6,-0.0034019855237195193
Cd_1,0.0018746476695322906
Cd_2,0.00969554976998118
Cd_3,0.011383548702292296
Cd_4,0.014217219167519148
Cd_5,0.011284159751844536
Cd_6,0.011670618316019194
Zn_1,0.004697110090123939
Zn_2,0.0010386995905325932
Zn_3,-0.010526029540800223
Zn_4,-0.015686630496260824
Zn_5,-0.01699118131582314
Zn_6,-0.018096181259211683
Cu_1,0.012407405163351136
Cu_2,0.02143554808426468
Cu_3,0.03109267755019379
Cu_4,0.038767140839714616
Cu_5,0.04724802427181897
Cu_6,0.05483817365489176
Pb_1,0.00602977271361644
Pb_2,0.01897950073548463
Pb_3,0.023084701671276915
Pb_4,0.022320382936932538
Pb_5,0.027117654619982598
Pb_6,0.03596523025512995
