,yahC
Cr_1,-0.004921228107242789
Cr_2,0.003856233590189301
Cr_3,0.006417280527188559
Cr_4,0.026138391872929503
Cr_5,0.03865122543849733
Cr_6,0.04361472758421574
Fe_1,-0.046985779833697235
Fe_2,-0.09639613684139543
Fe_3,-0.08996034141679868
Fe_4,-0.07919732008566077
Fe_5,-0.07646744161195643
Fe_6,-0.09533138134239244
Cd_1,0.00044543904386994094
Cd_2,0.008468025230661692
Cd_3,0.02166345062428809
Cd_4,0.02920380415914417
Cd_5,0.025020924362383474
Cd_6,0.022232079303758343
Zn_1,-0.051372767727128114
Zn_2,-0.06490122859369582
Zn_3,-0.06346677393003178
Zn_4,-0.054136097274379284
Zn_5,-0.03844752976106852
Zn_6,-0.027494974096016485
Cu_1,-0.00037177407142715115
Cu_2,-0.00647447468189671
Cu_3,-0.004966292044141138
Cu_4,-0.0048940640022395576
Cu_5,0.0021223250991964718
Cu_6,0.011758666158353677
Pb_1,0.0068749976513560315
Pb_2,0.01238297919335733
Pb_3,0.012483492033608963
Pb_4,0.023042170473911643
Pb_5,0.029692784810523613
Pb_6,0.026498500675440927
