,dcd
Cr_1,-0.006066660003935332
Cr_2,-0.011045247063369946
Cr_3,-0.01148851447029419
Cr_4,-0.011522307955289695
Cr_5,-0.014746064624100325
Cr_6,-0.021889807303015416
Fe_1,-0.007580245807783888
Fe_2,-0.024060964852969862
Fe_3,-0.04099499459784498
Fe_4,-0.060117445764696624
Fe_5,-0.07034713252593151
Fe_6,-0.07062887108639836
Cd_1,0.0003478514711474269
Cd_2,0.001913972848122838
Cd_3,0.003807930379619104
Cd_4,0.006652775647180221
Cd_5,0.006513972410006654
Cd_6,0.013056840293176124
Zn_1,-0.011706663215124764
Zn_2,-0.024289161610755325
Zn_3,-0.03033976093831602
Zn_4,-0.026333684732330158
Zn_5,-0.010383273769753756
Zn_6,0.013748044998611122
Cu_1,0.0048678439277696425
Cu_2,0.015375265937093787
Cu_3,0.02565006264955922
Cu_4,0.039403323912739235
Cu_5,0.045245936822922786
Cu_6,0.04706108668917531
Pb_1,-0.007533908430268611
Pb_2,-0.013761928389813894
Pb_3,-0.011451328897176587
Pb_4,-0.009544642721948795
Pb_5,-0.003499706846309872
Pb_6,0.010757778981599896
