,lysR
Cr_1,0.002251426309591721
Cr_2,0.008561349739032434
Cr_3,0.019726872984030818
Cr_4,0.030980944088078367
Cr_5,0.040296820599400936
Cr_6,0.04944327205111496
Fe_1,-0.010783262593566396
Fe_2,-0.013785628846463931
Fe_3,-0.004698541333830089
Fe_4,0.00794102451237945
Fe_5,0.02210455744538166
Fe_6,0.03590013447460149
Cd_1,0.00015589978659864297
Cd_2,-0.0004096634669537601
Cd_3,-0.0007310414609399814
Cd_4,0.0002206439481518087
Cd_5,-0.004318681775826537
Cd_6,-0.002522405642226657
Zn_1,-0.007566125079036376
Zn_2,-0.01422255918959582
Zn_3,-0.011750385707380823
Zn_4,-0.003943559675923641
Zn_5,-0.002459674431389698
Zn_6,-0.004160745331620647
Cu_1,0.003031976956845725
Cu_2,0.007409627612175589
Cu_3,0.014346750913891081
Cu_4,0.021312606093798318
Cu_5,0.03341658262488464
Cu_6,0.044405558184263234
Pb_1,-0.0022043209311720974
Pb_2,-0.004125279987072085
Pb_3,-0.004997709889166061
Pb_4,-0.002852918984017782
Pb_5,-0.005123324508808907
Pb_6,-0.004921963218605463
