,yhiD
Cr_1,-0.005031814388275856
Cr_2,-0.005429185805809585
Cr_3,-0.005510922692642257
Cr_4,-0.0011654460110242595
Cr_5,0.006255936250333318
Cr_6,0.015198714976762074
Fe_1,-0.005794520338436771
Fe_2,-0.023104000207663174
Fe_3,-0.04326995416316196
Fe_4,-0.06479173103521578
Fe_5,-0.08035132657871506
Fe_6,-0.08842784070451197
Cd_1,0.0006896172457827983
Cd_2,0.0022518731894201624
Cd_3,0.004272154674917333
Cd_4,0.004642404568106965
Cd_5,0.0014985824447699648
Cd_6,0.003167165281000968
Zn_1,0.0022045118576390953
Zn_2,0.006618430102776637
Zn_3,0.027167951008102882
Zn_4,0.05641610841433956
Zn_5,0.07916846807977042
Zn_6,0.0922340364444236
Cu_1,0.0025660877143916586
Cu_2,0.002472192336178737
Cu_3,0.005127084057746745
Cu_4,0.007560286756187112
Cu_5,0.012976952921641556
Cu_6,0.021178766717151395
Pb_1,0.0029680372353326732
Pb_2,0.00718665212004011
Pb_3,0.01781767582639389
Pb_4,0.02661423187545561
Pb_5,0.03603672299619154
Pb_6,0.047282236777538976
