,nrdD
Cr_1,0.005837822551119368
Cr_2,0.011122993905155285
Cr_3,0.01386048348829092
Cr_4,0.016762663388131857
Cr_5,0.020170120419492704
Cr_6,0.020473500538719918
Fe_1,0.0006112271258928197
Fe_2,-0.01815382920161884
Fe_3,-0.05360822633097388
Fe_4,-0.10955274602643196
Fe_5,-0.17254912229690786
Fe_6,-0.2321022162211433
Cd_1,0.008208743338991142
Cd_2,0.015412287092144416
Cd_3,0.022245566079824586
Cd_4,0.025753614250707633
Cd_5,0.02390005211245816
Cd_6,0.02757902042172753
Zn_1,-0.004599799611403268
Zn_2,-0.004705895704907798
Zn_3,0.000298081738084474
Zn_4,0.002417184153340633
Zn_5,-0.0035204277113776313
Zn_6,-0.010303732679677512
Cu_1,0.012590314954832557
Cu_2,0.02830685724604664
Cu_3,0.04526411658264734
Cu_4,0.05986013947531384
Cu_5,0.0752969654835685
Cu_6,0.0919172076629408
Pb_1,0.0057436526000928904
Pb_2,0.00690378654025631
Pb_3,0.01694865863948568
Pb_4,0.03262443238265731
Pb_5,0.048433079658942516
Pb_6,0.06645031968786584
