,tolA
Cr_1,-0.0062604240115225005
Cr_2,-0.01642115014457206
Cr_3,-0.018230884448320862
Cr_4,-0.015388639317157709
Cr_5,-0.021244389440461458
Cr_6,-0.020645773402587882
Fe_1,-0.037600276573286164
Fe_2,-0.06318101642205809
Fe_3,-0.07927515485380576
Fe_4,-0.10917953993071396
Fe_5,-0.13190798348222135
Fe_6,-0.13643295781683742
Cd_1,-0.0001017514642173402
Cd_2,0.005813831569559803
Cd_3,0.01253531581410662
Cd_4,0.02231950123542583
Cd_5,0.0292985198092627
Cd_6,0.040071073246532966
Zn_1,-0.02299173781518877
Zn_2,-0.04451848853416486
Zn_3,-0.019000764800185328
Zn_4,0.03331801559618081
Zn_5,0.12911237831566258
Zn_6,0.22308969797569875
Cu_1,-0.0021294352378834693
Cu_2,0.00023604923643657827
Cu_3,0.004797170196385306
Cu_4,0.003864432336003338
Cu_5,0.004033599897806269
Cu_6,0.008489893920053225
Pb_1,-0.00036128733281201467
Pb_2,-0.0020331632076018274
Pb_3,-0.002856965164945545
Pb_4,0.0009094285544131221
Pb_5,0.007340378047594342
Pb_6,-0.0013017268742931412
