,betT
Cr_1,-0.0036916612256226414
Cr_2,-0.00666595638034948
Cr_3,-0.010360748886343248
Cr_4,-0.01212551854803157
Cr_5,-0.014115608994646422
Cr_6,-0.018517413565964657
Fe_1,-0.02122775569612833
Fe_2,-0.032237901735574136
Fe_3,-0.030364981982081905
Fe_4,-0.02770169828407561
Fe_5,-0.009083784482423888
Fe_6,0.003307389045166992
Cd_1,-0.0016852409328990661
Cd_2,0.0004888396798267898
Cd_3,0.005191170776012443
Cd_4,0.009748024986744177
Cd_5,0.009482852165151306
Cd_6,0.015356251776026354
Zn_1,-0.005685178808302582
Zn_2,-0.009559958637596816
Zn_3,0.006169376799797875
Zn_4,0.039515997713619036
Zn_5,0.07865191399756505
Zn_6,0.10979460423820207
Cu_1,-0.0028154984758920424
Cu_2,0.0040536727656922695
Cu_3,0.018620069776813054
Cu_4,0.0256242265924352
Cu_5,0.036585521416362135
Cu_6,0.05619251934436671
Pb_1,0.0026615639863654945
Pb_2,0.004782112626465778
Pb_3,0.008735256649876628
Pb_4,0.016661033046193128
Pb_5,0.02590388992153534
Pb_6,0.03950594513757438
