,pepE
Cr_1,0.006139483735689059
Cr_2,0.008797535707793581
Cr_3,0.007645574681769914
Cr_4,0.0054482280553542935
Cr_5,0.002869954217931116
Cr_6,0.0011456590945738323
Fe_1,-0.0292337880929714
Fe_2,-0.07064177986656937
Fe_3,-0.11983511173200835
Fe_4,-0.1510582929559429
Fe_5,-0.17290342684188642
Fe_6,-0.18865931665791344
Cd_1,0.0012935479260331607
Cd_2,0.0035902476818186835
Cd_3,0.008585402074241534
Cd_4,0.015683151622867243
Cd_5,0.021385296839699718
Cd_6,0.028718183521335663
Zn_1,0.014801645900668278
Zn_2,0.0881583177970035
Zn_3,0.028298165997575925
Zn_4,0.19113742257128344
Zn_5,0.35665337095904404
Zn_6,0.5166708583809304
Cu_1,0.009455336625512869
Cu_2,0.01853941373449057
Cu_3,0.027561247133473868
Cu_4,0.036003847643290385
Cu_5,0.04321970126968064
Cu_6,0.048044576972126884
Pb_1,-0.001587125680517439
Pb_2,0.01267692378865364
Pb_3,0.02617849200669176
Pb_4,0.04257728205962632
Pb_5,0.05854069955832813
Pb_6,0.07214298387710645
