,yafU
Cr_1,-0.0035243291571431423
Cr_2,0.0064413191675137095
Cr_3,0.010204646460494978
Cr_4,0.0064483695216833396
Cr_5,0.0008367170523087125
Cr_6,-0.0027882604646472203
Fe_1,-0.018378587642365826
Fe_2,-0.03443483117057413
Fe_3,-0.040173517314480836
Fe_4,-0.03943542545882182
Fe_5,-0.026473548849357827
Fe_6,-0.011629928493686777
Cd_1,0.005887797807799888
Cd_2,0.007295198251053889
Cd_3,0.006100656916154231
Cd_4,0.008914625500807799
Cd_5,0.011593411416263886
Cd_6,0.012492291572085902
Zn_1,-0.01392560323043415
Zn_2,-0.0002210160742138212
Zn_3,0.0011923463148945756
Zn_4,0.023413969142171698
Zn_5,0.04462856415651495
Zn_6,0.040326125524588925
Cu_1,0.003352418288298067
Cu_2,0.00914478427935061
Cu_3,0.013337837910659844
Cu_4,0.01255309329002333
Cu_5,0.014582407838470084
Cu_6,0.014884196986683819
Pb_1,0.007382269833533328
Pb_2,0.004778498581406111
Pb_3,0.011321389576229504
Pb_4,0.018471033906607637
Pb_5,0.014648736170149413
Pb_6,0.022656340921091905
