,A,Fnr,DpiA,ArcA,NarL,Crp
R2,,0.0491213112292449,0.016641036631084516,0.0065577642210224996,0.005634279619400551,0.004969224086151081
xmin,,-7.8525940196,-3.1825038897,-3.6017898952,-3.0560450505,-9.852476477
xmid,,-3.2726941185884866,0.6396863909371371,-0.514443219803987,-0.002912093230236356,-0.9411814956594577
xmax,,4.4171410107,2.4490191453,3.7109145168,2.4694155805999998,2.5388323397
ystart,,2.2691141715812955,-0.12954699067485553,-0.24102887127292755,-0.12936204692160094,-0.3591793312265776
yend,,-3.5286964764839754,2.586555749714509,1.1042477670474562,1.221580136260565,0.8576816533299976
SRX1125282,1.2988128218,-0.0825740115,0.2250634057,0.1536251284,0.0834143878,0.0344951212
SRX1125283,0.1532481712,0.16485310350000001,-0.0134265257,-0.1085541986,0.0504933555,0.1435731223
SRX1125284,-0.8986896713,0.7752711503,-0.48362472160000003,-0.269085791,0.031696480900000004,0.2534372822
SRX1125285,-0.6864902117,0.9066270852,-0.8074331757000001,0.0131235692,-0.0029696078000000002,0.283920339
SRX1125286,-1.5502059798999999,0.95171602,-0.5789410273,0.26443002660000003,-0.3118176763,0.3175329239
SRX1125287,-1.2575000453,1.0192587317,-0.7025038281,-0.1415413156,-1.1250431231,0.17602055360000002
SRX1125288,-0.8450972747000001,0.1234264677,0.0156616678,-0.1227035083,0.0253800388,0.005256366
SRX1125289,-0.7345261585,0.4334180231,0.1290126287,-0.4182880135,-0.0159687598,0.2819816342
SRX1125290,0.071564446,0.7979562918,-0.39079655150000003,-0.1456535487,0.11729304230000001,0.2801678667
SRX1125291,-1.6962030663,0.8964971719,-0.6105177247,0.0864050615,-0.0645860458,0.4762089513
SRX1125292,-0.9259474128,0.9047534472000001,-0.8536042303,0.326354303,-0.4360385312,0.5370175003000001
SRX1125293,0.1109101034,0.9185125141,-0.5624532876,0.2809830862,-0.7155510694,0.5086233319
SRX1125294,-0.4537155471,-0.040852456200000005,-0.2407250735,-0.0309216201,-0.10879442660000001,-0.039751487200000005
