locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,DpiA,NarL,Fnr,Crp,link
b0617,0.3497896749,citD,citrate lyase acyl carrier protein,Energy production and conversion,,"Crp,Fnr,ArcA,NarL,DpiA",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6343
b0616,0.2779826267,citE,citrate lyase beta subunit,Carbohydrate transport and metabolism,,"Crp,Fnr,ArcA,NarL,DpiA",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6342
b0614,0.2469938674,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,,"Crp,Fnr,ArcA,NarL,DpiA",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6340
b0618,0.2400147158,citC,citrate lyase synthetase,Coenzyme transport and metabolism,citCDEFXG,"Crp,Fnr,ArcA,NarL,DpiA",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6344
b0615,0.2311029132,citF,citrate lyase alpha subunit,Energy production and conversion,citCDEFXG,"Crp,Fnr,ArcA,NarL,DpiA",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6341
b0613,0.16265129150000002,citG,triphosphoribosyl-dephospho-CoA synthase,Nucleotide transport and metabolism,,"Crp,Fnr,ArcA,NarL,DpiA",True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6339
b0612,0.08991875690000001,citT,citrate:succinate antiporter,Inorganic ion transport and metabolism,citT,YcjW,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6338
