,A,Cbl,CysB
R2,,0.7308941359925415,0.09919930449905967
xmin,,0.0,5.9669218477
xmid,,10.870483510790901,7.757695738647472
xmax,,11.3513281943,9.3693165216
ystart,,1.6316634164613788,1.5617559633791487
yend,,47.182780233059475,15.026227394908439
control__wt_glc__1,0.11331250100000001,6.3125457656,7.5817890453
control__wt_glc__2,-0.11331250100000001,6.3579065208,7.5882193968
fur__wt_dpd__1,2.1214107319,5.6869425147,7.1697944003
fur__wt_dpd__2,3.1512417518999998,6.0147700937,7.2800310803
fur__wt_fe__1,0.629320475,6.5842731542,7.5843725805
fur__wt_fe__2,0.8166293999,6.463472646,7.6355500212
fur__delfur_dpd__1,2.6037839098999997,5.8060705593,7.1443133101
fur__delfur_dpd__2,1.7668765192,5.6694431366,7.2516724036
fur__delfur_fe2__1,2.3008580503,6.6955459133,7.6595816975
fur__delfur_fe2__2,2.4184233047,6.8078887292,7.6095719843000005
acid__wt_ph5__1,2.2667701446,6.9773197007,7.7641346466000005
acid__wt_ph5__2,2.8660593437,6.9886255237,7.7190001854
acid__delgadx_ph5__1,2.4300390069,6.7370437335,7.6707865941
acid__delgadx_ph5__2,2.376642771,6.7407454964,7.6168355014
acid__delgadw_ph5__1,2.3083410613,6.9906333195,7.7920940947
acid__delgadw_ph5__2,2.0305835507,7.0152508612,7.9820665735
acid__delgade_ph5__1,2.1636686138,7.0270400178,7.8548896355
acid__delgade_ph5__2,2.1960466858,6.9270425119,7.7358752102
oxidative__wt_pq__1,5.5953745015,3.3527361888,6.6796552184
oxidative__wt_pq__2,5.7263160302,3.2792961107,6.8416949939
oxidative__deloxyr_pq__1,4.5322213667,3.3302229268,6.8702018796
oxidative__deloxyr_pq__2,4.0578278658,3.4170681542,6.8848169129
oxidative__delsoxr_pq__1,3.6582330813,3.3443827656,6.8643911983
oxidative__delsoxr_pq__2,3.8548641817,3.1072057875,6.9628362216
oxidative__delsoxs_pq__1,5.2801020816,3.3286725375,6.837432798
oxidative__delsoxs_pq__2,4.6874029875000005,2.9235068981000003,6.8660221182
nac_ntrc__wt_csn__1,2.8688858279,10.771771534500001,7.4805661653
nac_ntrc__wt_csn__2,2.2568340745,10.8657041442,7.6397506658
nac_ntrc__wt_cytd__1,-0.18165220140000002,10.3750022793,7.6929084437
nac_ntrc__wt_cytd__2,-0.2246470931,10.3320379023,7.6918201218
nac_ntrc__wt_gln__1,0.4965521392,10.8799415334,7.6281745664
nac_ntrc__wt_gln__2,0.4191663433,10.7973099254,7.5565387555
nac_ntrc__bw_delnac_csn__1,4.6418952458,10.3619407078,7.2916094417
nac_ntrc__bw_delnac_csn__2,4.8329010153,10.4265654705,7.3739559899
nac_ntrc__bw_delnac_cytd__1,1.0631713303,9.9853108433,7.7659169896
nac_ntrc__bw_delnac_cytd__2,1.6850345862,9.9601718974,7.6942881689
nac_ntrc__bw_delnac_gln__1,0.4966206969,10.2836025931,7.6891210291
nac_ntrc__bw_delnac_gln__2,-0.49679886710000004,10.3339466871,7.7499902276
nac_ntrc__bw_delnac_nh4__1,-0.0380265172,8.1790878846,7.7584081845
nac_ntrc__bw_delnac_nh4__2,0.254009289,8.1102493498,7.7561887102
misc__wt_no_te__1,0.2414050064,5.2501823107,7.7449750495
misc__wt_no_te__2,-0.3952619435,6.1430842127,7.9187388688
misc__bw_delcbl__1,0.9935940215000001,0.0,7.854535794
misc__bw_delcbl__2,0.39894008680000004,0.0,7.9328114148
misc__bw_delfabr__1,1.2323181828,6.0464653436,7.8865841463
misc__bw_delfabr__2,0.7140536784,6.2520024065,7.8091960955
misc__bw_delfadr__1,0.5322818143,5.8643957533,7.7586841853
misc__bw_delfadr__2,1.1707781716,5.8781809381,7.7730933313
misc__nitr_031__1,1.5616620562999999,9.974361161600001,7.625557711
omics__wt_glu__1,1.0981009023,5.8810968432,7.7831098611
omics__wt_glu__2,0.5353571652,6.04599713,7.4121789885
omics__wt_gly__1,1.4870729702,6.4528263182,7.2303568825
omics__wt_gly__2,2.2177356384,6.3313188155,7.16008734
omics__wt_thr__1,5.810672773,5.9031953922,7.9557037424
omics__wt_thr__2,5.1299377397,5.6820898419,7.8596777793
omics__bw_ac__1,1.127931527,7.0564361551,7.544285217
omics__bw_ac__2,1.5538980547999999,6.9702321859000005,7.4680428813
omics__bw_fum__1,-1.1227062322,6.4024952643,7.4787696740000005
omics__bw_fum__2,-1.4625266881,6.4526799236,7.5422561548000004
omics__bw_glc__1,-1.2123136755,6.7311073021,7.5072595233
omics__bw_glc__2,-0.6815492325,6.7916124094,7.4848273865
omics__bw_pyr__1,-0.2194167232,6.5887685886,7.2155692907
omics__bw_pyr__2,0.4227549701,6.5705932020999995,7.1161240211
ompr__wt_nacl__1,2.3493118155,5.317542971,7.9046552645
ompr__wt_nacl__2,1.8513608931,5.2471833249,7.9923915551
ompr__bw_delompr_nacl__1,10.9144887473,6.152319742,7.9837202148
ompr__bw_delompr_nacl__2,10.8827714419,6.0523152072,8.0417960438
minspan__wt_ade__1,-1.1829468127,6.0872973621,7.6256468362
minspan__wt_glc__1,1.9646979132000002,6.4938226479,7.8630530576
minspan__wt_glc__2,1.3021840773,6.6135305916,7.7306022974
minspan__wt_glc__3,2.2291471903,6.6030243501,7.9156327967
minspan__wt_glc__4,1.2504594084,6.551961471,7.7977589372
minspan__wt_glc_anaero__1,1.7019498848999999,5.2903708908,7.4511240796
minspan__wt_glc_anaero__2,3.1107740698,5.637086936,7.4141167759
minspan__wt_trp__1,2.2092020051,4.1684119824,6.9860413855
minspan__bw_delcra_glc__1,3.2016981127,4.4155410025,7.1799943638
minspan__bw_delcra_glc__2,3.1540071878,4.4709441577,7.0869267831
minspan__bw_delcra_trp__1,2.3383912461,5.4941909664,7.309495792
minspan__bw_delmntr__1,3.657571046,4.0996568052,7.0059536509
minspan__bw_delnac_ade__1,2.5422210423,9.2942629493,8.3104343259
minspan__bw_delnac_glc__1,2.5221840881,8.4827323916,7.9194924908
cra_crp__wt_ac__1,0.8528238893000001,5.2880720062,7.1445377054
cra_crp__wt_ac__2,1.5349822797,5.4043020411,7.2804471974
cra_crp__wt_fru__1,2.6983769927,5.7736950311,7.4568749689
cra_crp__wt_fru__2,1.0757062219,5.7412236858,7.3153447475
cra_crp__delcra_ac__1,1.9837990365,5.4171600081,7.5413881522
cra_crp__delcra_ac__2,3.1303684562,5.1098058238,7.7218113888
cra_crp__delcra_fru__1,1.1486896791,5.9964390669,7.807562223
cra_crp__delcra_fru__2,1.1656271015,5.9700705585,7.6627074207
