,selD
Cr_1,-0.0002886299188722425
Cr_2,-0.006245228780945976
Cr_3,-0.0070559096078989265
Cr_4,-0.011720747677983364
Cr_5,-0.020695963725755613
Cr_6,-0.02242615016552041
Fe_1,-0.01518746389632351
Fe_2,-0.017742812380903382
Fe_3,-0.014762030522490954
Fe_4,-0.012537820458388277
Fe_5,-0.008007044814350738
Fe_6,-0.0044228997628282885
Cd_1,-0.0015473899457769259
Cd_2,0.0022455849406006487
Cd_3,0.006701455195806457
Cd_4,0.005572535768234741
Cd_5,0.005629095455023921
Cd_6,0.0120549138513594
Zn_1,-0.02171738492333023
Zn_2,-0.022229314272195558
Zn_3,-0.005131207359617193
Zn_4,-0.005673991588873243
Zn_5,-0.006058145863874325
Zn_6,0.009884894090849514
Cu_1,0.003290723953954591
Cu_2,0.009066336713934687
Cu_3,0.009190117362700038
Cu_4,0.015256496714890357
Cu_5,0.021218100412007355
Cu_6,0.033101108431280384
Pb_1,0.006928050230214524
Pb_2,0.005750635600768864
Pb_3,0.009010964479667037
Pb_4,0.014885615037772325
Pb_5,0.022485908017390515
Pb_6,0.026231953782680173
